# number of nodes: 996
# number of edges: 1137
# number of fixed handles: 16
# 
start,end,type,l,u,w
BBLB_1_B-54-1-21-dep-right,BPHD_1_B-54-1-1-arr-right,driving,20,20,2
BPHD_1_B-54-1-1-arr-right,BPHD_1_B-54-1-1-dep-right,waiting,5,50,2
BPHD_1_B-54-1-1-dep-right,BPKW_642_B-54-1-1-arr-right,driving,20,20,2
BPKW_642_B-54-1-1-arr-right,BPKW_642_B-54-1-1-dep-right,waiting,5,40,2
BBOS_612_B-54-1-1-arr-right,BBOS_612_B-54-1-1-dep-right,waiting,5,22,2
BPKW_642_B-54-1-1-dep-right,BBOS_612_B-54-1-1-arr-right,driving,18,18,2
BBOS_612_B-54-1-1-dep-right,BSAL_771_B-54-1-1-arr-right,driving,20,20,2
BSAL_771_B-54-1-1-arr-right,BSAL_771_B-54-1-1-dep-right,waiting,5,40,2
BSAL_771_B-54-1-1-dep-right,BPLA_781_B-54-1-1-arr-right,driving,13,13,2
BPLA_781_B-54-1-1-arr-right,BPLA_781_B-54-1-1-dep-right,waiting,5,40,2
BPLA_781_B-54-1-1-dep-right,BGSS_511_B-54-1-1-arr-right,driving,15,15,2
BGSS_511_B-54-1-1-arr-right,BGSS_511_B-54-1-1-dep-right,waiting,5,40,2
BGSS_511_B-54-1-1-dep-right,BLST_531_B-54-1-1-arr-right,driving,19,19,2
BGSS_511_B-54-1-1-dep-right,BLST_532_B-54-1-1-arr-left,driving,24,24,2
BLST_531_B-54-1-1-arr-right,BLST_531_B-54-1-1-dep-right,waiting,5,40,2
BLST_532_B-54-1-1-arr-left,BLST_532_B-54-1-1-dep-left,waiting,5,40,2
BLST_531_B-54-1-1-dep-right,BSTO_541_B-54-1-1-arr-right,driving,15,15,2
BSTO_541_B-54-1-1-arr-right,BSTO_541_B-54-1-1-dep-right,waiting,5,40,2
BLST_532_B-54-1-1-dep-left,BSTO_541_B-54-1-1-arr-right,driving,20,20,2
BSTO_541_B-54-1-1-dep-right,BFA_541_B-54-1-1-arr-right,driving,15,15,2
BFA_541_B-54-1-1-arr-right,BFA_541_B-54-1-1-dep-right,waiting,5,40,2
BFA_541_B-54-1-1-dep-right,BOK_551_B-54-1-1-arr-right,driving,18,18,2
BOK_551_B-54-1-1-arr-right,BOK_551_B-54-1-1-dep-right,waiting,5,40,2
BOK_551_B-54-1-1-dep-right,BTP_572_B-54-1-1-arr-left,driving,20,20,2
BOK_551_B-54-1-1-dep-right,BTP_571_B-54-1-1-arr-right,driving,15,15,2
BOK_551_B-54-1-1-dep-right,BTP_573_B-54-1-1-arr-right,driving,15,15,2
BOK_551_B-54-1-1-dep-right,BTP_574_B-54-1-1-arr-left,driving,20,20,2
BTP_572_B-54-1-1-arr-left,BTP_572_B-54-1-1-dep-left,waiting,5,33,2
BTP_571_B-54-1-1-arr-right,BTP_571_B-54-1-1-dep-right,waiting,5,33,2
BTP_573_B-54-1-1-arr-right,BTP_573_B-54-1-1-dep-right,waiting,5,33,2
BTP_574_B-54-1-1-arr-left,BTP_574_B-54-1-1-dep-left,waiting,5,33,2
BTP_572_B-54-1-1-dep-left,BSO_401_B-54-1-1-arr-right,driving,32,32,2
BSO_401_B-54-1-1-arr-right,BSO_401_B-54-1-1-dep-right,waiting,5,67,2
BTP_571_B-54-1-1-dep-right,BSO_401_B-54-1-1-arr-right,driving,27,27,2
BTP_573_B-54-1-1-dep-right,BSO_401_B-54-1-1-arr-right,driving,27,27,2
BTP_574_B-54-1-1-dep-left,BSO_401_B-54-1-1-arr-right,driving,32,32,2
BSO_401_B-54-1-1-dep-right,BNK_461_B-54-1-1-arr-right,driving,14,14,2
BNK_461_B-54-1-1-arr-right,BNK_461_B-54-1-1-dep-right,waiting,5,33,2
BHER_471_B-54-1-1-arr-right,BHER_471_B-54-1-1-dep-right,waiting,5,33,2
BNK_461_B-54-1-1-dep-right,BHER_471_B-54-1-1-arr-right,driving,12,12,2
BHER_471_B-54-1-1-dep-right,BTHF_511_B-54-1-1-arr-right,driving,33,33,2
BTHF_511_B-54-1-1-arr-right,BTHF_511_B-54-1-1-dep-right,waiting,5,40,2
BTHF_511_B-54-1-1-dep-right,BSKR_531_B-54-1-1-arr-right,driving,18,18,2
BSKR_531_B-54-1-1-arr-right,BSKR_531_B-54-1-1-dep-right,waiting,5,40,2
BSKR_531_B-54-1-1-dep-right,BSGR_601_B-54-1-1-arr-right,driving,15,15,2
BSGR_601_B-54-1-1-arr-right,BSGR_601_B-54-1-1-dep-right,waiting,5,50,2
BIP_611_B-54-1-1-arr-right,BIP_611_B-54-1-1-dep-right,waiting,5,50,2
BSGR_601_B-54-1-1-dep-right,BIP_611_B-54-1-1-arr-right,driving,12,12,2
BIP_611_B-54-1-1-dep-right,BBUP_621_B-54-1-1-arr-right,driving,13,13,2
BBUP_621_B-54-1-1-arr-right,BBUP_621_B-54-1-1-dep-right,waiting,5,50,2
BHEI_631_B-54-1-1-arr-right,BHEI_631_B-54-1-1-dep-right,waiting,5,50,2
BBUP_621_B-54-1-1-dep-right,BHEI_631_B-54-1-1-arr-right,driving,16,16,2
BHEI_631_B-54-1-1-dep-right,BHO_701_B-54-1-1-arr-right,driving,15,15,2
BHO_701_B-54-1-1-arr-right,BHO_701_B-54-1-1-dep-right,waiting,5,50,2
BHO_701_B-54-1-1-dep-right,BHAL_711_B-54-1-1-arr-right,driving,15,15,2
BHAL_711_B-54-1-1-arr-right,BHAL_711_B-54-1-1-dep-right,waiting,5,50,2
BHAL_711_B-54-1-1-dep-right,BWKRR_801_B-54-1-1-arr-right,driving,11,11,2
BWKRR_801_B-54-1-1-arr-right,BWKRR_801_B-54-1-1-dep-right,waiting,5,50,2
BWKRR_801_B-54-1-1-dep-right,BMN_801_B-54-1-1-arr-right,driving,12,12,2
BMN_801_B-54-1-1-arr-right,BMN_801_B-54-1-1-dep-right,waiting,5,50,2
BMN_801_B-54-1-1-dep-right,BWES_811_B-54-1-12-arr-right,driving,15,15,2
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-right,waiting,5,50,1
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-left,turn,20,180,1
BWES_812_B-54-1-12-dep-right,BMN_802_B-54-1-2-arr-right,driving,15,15,2
BMN_802_B-54-1-2-arr-right,BMN_802_B-54-1-2-dep-right,waiting,5,50,2
BWES_811_B-54-1-12-dep-left,BMN_802_B-54-1-2-arr-right,driving,20,20,2
BMN_802_B-54-1-2-dep-right,BWKRR_802_B-54-1-2-arr-right,driving,12,12,2
BWKRR_802_B-54-1-2-arr-right,BWKRR_802_B-54-1-2-dep-right,waiting,5,50,2
BWKRR_802_B-54-1-2-dep-right,BHAL_712_B-54-1-2-arr-right,driving,11,11,2
BWKRR_802_B-54-1-2-dep-right,BHAL_711_B-54-1-2-arr-left,driving,16,16,2
BHAL_712_B-54-1-2-arr-right,BHAL_712_B-54-1-2-dep-right,waiting,5,50,2
BHAL_711_B-54-1-2-arr-left,BHAL_711_B-54-1-2-dep-left,waiting,5,50,2
BHAL_712_B-54-1-2-dep-right,BHO_702_B-54-1-2-arr-right,driving,14,14,2
BHO_702_B-54-1-2-arr-right,BHO_702_B-54-1-2-dep-right,waiting,5,50,2
BHAL_711_B-54-1-2-dep-left,BHO_702_B-54-1-2-arr-right,driving,19,19,2
BHO_702_B-54-1-2-dep-right,BHEI_632_B-54-1-2-arr-right,driving,16,16,2
BHEI_632_B-54-1-2-arr-right,BHEI_632_B-54-1-2-dep-right,waiting,5,50,2
BHEI_632_B-54-1-2-dep-right,BBUP_622_B-54-1-2-arr-right,driving,16,16,2
BBUP_622_B-54-1-2-arr-right,BBUP_622_B-54-1-2-dep-right,waiting,5,50,2
BBUP_622_B-54-1-2-dep-right,BIP_612_B-54-1-2-arr-right,driving,13,13,2
BIP_612_B-54-1-2-arr-right,BIP_612_B-54-1-2-dep-right,waiting,5,50,2
BIP_612_B-54-1-2-dep-right,BSGR_602_B-54-1-2-arr-right,driving,11,11,2
BSGR_602_B-54-1-2-arr-right,BSGR_602_B-54-1-2-dep-right,waiting,5,50,2
BSGR_602_B-54-1-2-dep-right,BSKR_532_B-54-1-2-arr-right,driving,14,14,2
BSKR_532_B-54-1-2-arr-right,BSKR_532_B-54-1-2-dep-right,waiting,5,40,2
BSKR_532_B-54-1-2-dep-right,BTHF_512_B-54-1-2-arr-right,driving,20,20,2
BTHF_512_B-54-1-2-arr-right,BTHF_512_B-54-1-2-dep-right,waiting,5,40,2
BHER_472_B-54-1-2-arr-right,BHER_472_B-54-1-2-dep-right,waiting,5,33,2
BTHF_512_B-54-1-2-dep-right,BHER_472_B-54-1-2-arr-right,driving,33,33,2
BHER_472_B-54-1-2-dep-right,BNK_462_B-54-1-2-arr-right,driving,12,12,2
BNK_462_B-54-1-2-arr-right,BNK_462_B-54-1-2-dep-right,waiting,5,33,2
BNK_462_B-54-1-2-dep-right,BSO_402_B-54-1-2-arr-right,driving,13,13,2
BSO_402_B-54-1-2-arr-right,BSO_402_B-54-1-2-dep-right,waiting,5,67,2
BSO_402_B-54-1-2-dep-right,BTP_572_B-54-1-2-arr-right,driving,27,27,2
BTP_572_B-54-1-2-arr-right,BTP_572_B-54-1-2-dep-right,waiting,5,33,2
BTP_572_B-54-1-2-dep-right,BOK_552_B-54-1-2-arr-right,driving,17,17,2
BOK_552_B-54-1-2-arr-right,BOK_552_B-54-1-2-dep-right,waiting,5,40,2
BOK_552_B-54-1-2-dep-right,BFA_542_B-54-1-2-arr-right,driving,17,17,2
BFA_542_B-54-1-2-arr-right,BFA_542_B-54-1-2-dep-right,waiting,5,40,2
BFA_542_B-54-1-2-dep-right,BSTO_542_B-54-1-2-arr-right,driving,16,16,2
BSTO_542_B-54-1-2-arr-right,BSTO_542_B-54-1-2-dep-right,waiting,5,40,2
BSTO_542_B-54-1-2-dep-right,BLST_532_B-54-1-2-arr-right,driving,14,14,2
BLST_532_B-54-1-2-arr-right,BLST_532_B-54-1-2-dep-right,waiting,5,40,2
BLST_532_B-54-1-2-dep-right,BGSS_512_B-54-1-2-arr-right,driving,19,19,2
BGSS_512_B-54-1-2-arr-right,BGSS_512_B-54-1-2-dep-right,waiting,5,40,2
BGSS_512_B-54-1-2-dep-right,BPLA_782_B-54-1-2-arr-right,driving,15,15,2
BPLA_782_B-54-1-2-arr-right,BPLA_782_B-54-1-2-dep-right,waiting,5,40,2
BPLA_782_B-54-1-2-dep-right,BSAL_771_B-54-1-2-arr-left,driving,18,18,2
BPLA_782_B-54-1-2-dep-right,BSAL_772_B-54-1-2-arr-right,driving,13,13,2
BSAL_771_B-54-1-2-arr-left,BSAL_771_B-54-1-2-dep-left,waiting,5,40,2
BSAL_772_B-54-1-2-arr-right,BSAL_772_B-54-1-2-dep-right,waiting,5,40,2
BSAL_771_B-54-1-2-dep-left,BBOS_613_B-54-1-2-arr-right,driving,25,25,2
BBOS_613_B-54-1-2-arr-right,BBOS_613_B-54-1-2-dep-right,waiting,5,22,2
BSAL_772_B-54-1-2-dep-right,BBOS_613_B-54-1-2-arr-right,driving,20,20,2
BBOS_613_B-54-1-2-dep-right,BPKW_641_B-54-1-2-arr-right,driving,18,18,2
BPKW_641_B-54-1-2-arr-right,BPKW_641_B-54-1-2-dep-right,waiting,5,40,2
BPKW_641_B-54-1-2-dep-right,BPHD_2_B-54-1-2-arr-right,driving,21,21,2
BPHD_2_B-54-1-2-arr-right,BPHD_2_B-54-1-2-dep-right,waiting,5,50,2
BPHD_2_B-54-1-2-dep-right,BBLB_4_B-54-1-21-arr-right,driving,20,20,2
BBLB_4_B-54-1-21-arr-right,BBLB_4_B-54-1-21-dep-right,waiting,5,50,1
BBLB_3_A-54-1-21-arr-right,BBLB_3_A-54-1-21-dep-left,turn,20,180,1
BBLB_3_A-54-1-21-dep-left,BBLB_1_B-54-1-21-arr-right,driving,15.0,15.0,1
BBLB_1_B-54-1-21-arr-right,BBLB_1_B-54-1-21-dep-right,waiting,5,50,1
BBLB_4_B-54-1-21-dep-right,BBLB_3_A-54-1-21-arr-right,driving,15.0,15.0,1
BWES_811_B-54-1-12-dep-right,BWES_823_A-54-1-12-arr-right,driving,22.0,22.0,1
BWES_811_B-54-1-12-dep-right,BWES_824_A-54-1-12-arr-right,driving,22.0,22.0,1
BWES_823_A-54-1-12-arr-right,BWES_823_A-54-1-12-dep-left,turn,20,180,1
BWES_823_A-54-1-12-dep-left,BWES_811_B-54-1-12-arr-left,driving,22.0,22.0,1
BWES_823_A-54-1-12-dep-left,BWES_812_B-54-1-12-arr-right,driving,22.0,22.0,1
BWES_811_B-54-1-12-arr-left,BWES_811_B-54-1-12-dep-left,waiting,5,50,1
BWES_812_B-54-1-12-arr-right,BWES_812_B-54-1-12-dep-right,waiting,5,50,1
BWES_812_B-54-1-12-arr-right,BWES_812_B-54-1-12-dep-left,turn,20,180,1
BWES_824_A-54-1-12-arr-right,BWES_824_A-54-1-12-dep-left,turn,20,180,1
BWES_824_A-54-1-12-dep-left,BWES_811_B-54-1-12-arr-left,driving,22.0,22.0,1
BWES_824_A-54-1-12-dep-left,BWES_812_B-54-1-12-arr-right,driving,22.0,22.0,1
BWES_812_B-54-1-12-dep-left,BWES_823_A-54-1-12-arr-right,driving,22.0,22.0,1
BWES_812_B-54-1-12-dep-left,BWES_824_A-54-1-12-arr-right,driving,22.0,22.0,1
BGB_723_B-273-1-21-dep-right,BSAL_771_B-273-1-1-arr-right,driving,19,19,2
BGB_723_B-273-1-21-dep-right,BGB_742_A-273-1-21-arr-right,driving,20.0,20.0,1
BSAL_771_B-273-1-1-arr-right,BSAL_771_B-273-1-1-dep-right,waiting,5,40,2
BGB_722_B-273-1-21-dep-left,BSAL_771_B-273-1-1-arr-right,driving,24,24,2
BGB_722_B-273-1-21-dep-left,BSAL_772_B-273-1-1-arr-left,driving,19,19,2
BGB_722_B-273-1-21-dep-left,BGB_742_A-273-1-21-arr-right,driving,20.0,20.0,1
BSAL_772_B-273-1-1-arr-left,BSAL_772_B-273-1-1-dep-left,waiting,5,40,2
BSAL_771_B-273-1-1-dep-right,BPLA_781_B-273-1-1-arr-right,driving,13,13,2
BPLA_781_B-273-1-1-arr-right,BPLA_781_B-273-1-1-dep-right,waiting,5,40,2
BSAL_772_B-273-1-1-dep-left,BPLA_781_B-273-1-1-arr-right,driving,18,18,2
BPLA_781_B-273-1-1-dep-right,BGSS_511_B-273-1-1-arr-right,driving,15,15,2
BGSS_511_B-273-1-1-arr-right,BGSS_511_B-273-1-1-dep-right,waiting,5,40,2
BGSS_511_B-273-1-1-dep-right,BLST_531_B-273-1-1-arr-right,driving,19,19,2
BGSS_511_B-273-1-1-dep-right,BLST_532_B-273-1-1-arr-left,driving,24,24,2
BLST_531_B-273-1-1-arr-right,BLST_531_B-273-1-1-dep-right,waiting,5,40,2
BLST_532_B-273-1-1-arr-left,BLST_532_B-273-1-1-dep-left,waiting,5,40,2
BLST_531_B-273-1-1-dep-right,BSTO_541_B-273-1-1-arr-right,driving,15,15,2
BSTO_541_B-273-1-1-arr-right,BSTO_541_B-273-1-1-dep-right,waiting,5,40,2
BLST_532_B-273-1-1-dep-left,BSTO_541_B-273-1-1-arr-right,driving,20,20,2
BSTO_541_B-273-1-1-dep-right,BFA_541_B-273-1-1-arr-right,driving,15,15,2
BFA_541_B-273-1-1-arr-right,BFA_541_B-273-1-1-dep-right,waiting,5,40,2
BFA_541_B-273-1-1-dep-right,BOK_551_B-273-1-1-arr-right,driving,18,18,2
BOK_551_B-273-1-1-arr-right,BOK_551_B-273-1-1-dep-right,waiting,5,40,2
BOK_551_B-273-1-1-dep-right,BTP_572_B-273-1-1-arr-left,driving,20,20,2
BOK_551_B-273-1-1-dep-right,BTP_571_B-273-1-1-arr-right,driving,15,15,2
BOK_551_B-273-1-1-dep-right,BTP_573_B-273-1-1-arr-right,driving,15,15,2
BOK_551_B-273-1-1-dep-right,BTP_574_B-273-1-1-arr-left,driving,20,20,2
BTP_572_B-273-1-1-arr-left,BTP_572_B-273-1-1-dep-left,waiting,5,33,2
BTP_571_B-273-1-1-arr-right,BTP_571_B-273-1-1-dep-right,waiting,5,33,2
BTP_573_B-273-1-1-arr-right,BTP_573_B-273-1-1-dep-right,waiting,5,33,2
BTP_574_B-273-1-1-arr-left,BTP_574_B-273-1-1-dep-left,waiting,5,33,2
BTP_572_B-273-1-1-dep-left,BSO_401_B-273-1-1-arr-right,driving,32,32,2
BSO_401_B-273-1-1-arr-right,BSO_401_B-273-1-1-dep-right,waiting,5,67,2
BTP_571_B-273-1-1-dep-right,BSO_401_B-273-1-1-arr-right,driving,27,27,2
BTP_573_B-273-1-1-dep-right,BSO_401_B-273-1-1-arr-right,driving,27,27,2
BTP_574_B-273-1-1-dep-left,BSO_401_B-273-1-1-arr-right,driving,32,32,2
BSO_401_B-273-1-1-dep-right,BNK_461_B-273-1-1-arr-right,driving,14,14,2
BNK_461_B-273-1-1-arr-right,BNK_461_B-273-1-1-dep-right,waiting,5,33,2
BHER_471_B-273-1-1-arr-right,BHER_471_B-273-1-1-dep-right,waiting,5,33,2
BNK_461_B-273-1-1-dep-right,BHER_471_B-273-1-1-arr-right,driving,12,12,2
BHER_471_B-273-1-1-dep-right,BTHF_511_B-273-1-1-arr-right,driving,33,33,2
BTHF_511_B-273-1-1-arr-right,BTHF_511_B-273-1-1-dep-right,waiting,5,40,2
BTHF_511_B-273-1-1-dep-right,BSKR_531_B-273-1-1-arr-right,driving,18,18,2
BSKR_531_B-273-1-1-arr-right,BSKR_531_B-273-1-1-dep-right,waiting,5,40,2
BSKR_531_B-273-1-1-dep-right,BSGR_601_B-273-1-1-arr-right,driving,15,15,2
BSGR_601_B-273-1-1-arr-right,BSGR_601_B-273-1-1-dep-right,waiting,5,50,2
BIP_611_B-273-1-1-arr-right,BIP_611_B-273-1-1-dep-right,waiting,5,50,2
BSGR_601_B-273-1-1-dep-right,BIP_611_B-273-1-1-arr-right,driving,12,12,2
BIP_611_B-273-1-1-dep-right,BBUP_621_B-273-1-1-arr-right,driving,13,13,2
BBUP_621_B-273-1-1-arr-right,BBUP_621_B-273-1-1-dep-right,waiting,5,50,2
BHEI_631_B-273-1-1-arr-right,BHEI_631_B-273-1-1-dep-right,waiting,5,50,2
BBUP_621_B-273-1-1-dep-right,BHEI_631_B-273-1-1-arr-right,driving,16,16,2
BHEI_631_B-273-1-1-dep-right,BHO_701_B-273-1-1-arr-right,driving,15,15,2
BHO_701_B-273-1-1-arr-right,BHO_701_B-273-1-1-dep-right,waiting,5,50,2
BHO_701_B-273-1-1-dep-right,BHAL_711_B-273-1-1-arr-right,driving,15,15,2
BHAL_711_B-273-1-1-arr-right,BHAL_711_B-273-1-1-dep-right,waiting,5,50,2
BHAL_711_B-273-1-1-dep-right,BWKRR_801_B-273-1-1-arr-right,driving,11,11,2
BWKRR_801_B-273-1-1-arr-right,BWKRR_801_B-273-1-1-dep-right,waiting,5,50,2
BWKRR_801_B-273-1-1-dep-right,BMN_801_B-273-1-1-arr-right,driving,12,12,2
BMN_801_B-273-1-1-arr-right,BMN_801_B-273-1-1-dep-right,waiting,5,50,2
BMN_801_B-273-1-1-dep-right,BWES_811_B-273-1-12-arr-right,driving,15,15,2
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-right,waiting,5,50,1
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-left,turn,20,180,1
BWES_812_B-273-1-12-dep-right,BMN_802_B-273-1-2-arr-right,driving,15,15,2
BMN_802_B-273-1-2-arr-right,BMN_802_B-273-1-2-dep-right,waiting,5,50,2
BWES_811_B-273-1-12-dep-left,BMN_802_B-273-1-2-arr-right,driving,20,20,2
BMN_802_B-273-1-2-dep-right,BWKRR_802_B-273-1-2-arr-right,driving,12,12,2
BWKRR_802_B-273-1-2-arr-right,BWKRR_802_B-273-1-2-dep-right,waiting,5,50,2
BWKRR_802_B-273-1-2-dep-right,BHAL_712_B-273-1-2-arr-right,driving,11,11,2
BWKRR_802_B-273-1-2-dep-right,BHAL_711_B-273-1-2-arr-left,driving,16,16,2
BHAL_712_B-273-1-2-arr-right,BHAL_712_B-273-1-2-dep-right,waiting,5,50,2
BHAL_711_B-273-1-2-arr-left,BHAL_711_B-273-1-2-dep-left,waiting,5,50,2
BHAL_712_B-273-1-2-dep-right,BHO_702_B-273-1-2-arr-right,driving,14,14,2
BHO_702_B-273-1-2-arr-right,BHO_702_B-273-1-2-dep-right,waiting,5,50,2
BHAL_711_B-273-1-2-dep-left,BHO_702_B-273-1-2-arr-right,driving,19,19,2
BHO_702_B-273-1-2-dep-right,BHEI_632_B-273-1-2-arr-right,driving,16,16,2
BHEI_632_B-273-1-2-arr-right,BHEI_632_B-273-1-2-dep-right,waiting,5,50,2
BHEI_632_B-273-1-2-dep-right,BBUP_622_B-273-1-2-arr-right,driving,16,16,2
BBUP_622_B-273-1-2-arr-right,BBUP_622_B-273-1-2-dep-right,waiting,5,50,2
BBUP_622_B-273-1-2-dep-right,BIP_612_B-273-1-2-arr-right,driving,13,13,2
BIP_612_B-273-1-2-arr-right,BIP_612_B-273-1-2-dep-right,waiting,5,50,2
BIP_612_B-273-1-2-dep-right,BSGR_602_B-273-1-2-arr-right,driving,11,11,2
BSGR_602_B-273-1-2-arr-right,BSGR_602_B-273-1-2-dep-right,waiting,5,50,2
BSGR_602_B-273-1-2-dep-right,BSKR_532_B-273-1-2-arr-right,driving,14,14,2
BSKR_532_B-273-1-2-arr-right,BSKR_532_B-273-1-2-dep-right,waiting,5,40,2
BSKR_532_B-273-1-2-dep-right,BTHF_512_B-273-1-2-arr-right,driving,20,20,2
BTHF_512_B-273-1-2-arr-right,BTHF_512_B-273-1-2-dep-right,waiting,5,40,2
BHER_472_B-273-1-2-arr-right,BHER_472_B-273-1-2-dep-right,waiting,5,33,2
BTHF_512_B-273-1-2-dep-right,BHER_472_B-273-1-2-arr-right,driving,33,33,2
