#file for arcs using the same infrastructure in the sense that activities (i,j) and (i_bar, j_bar) occupy the same underlying infrastructure
i,j,i_bar,j_bar
BHEI_631_B-54-1-1-arr-right,BHEI_631_B-54-1-1-dep-right,BHEI_631_B-273-1-1-arr-right,BHEI_631_B-273-1-1-dep-right
BHEI_631_B-474-1-1-arr-right,BHEI_631_B-474-1-1-dep-right,BHEI_631_B-273-2-1-arr-right,BHEI_631_B-273-2-1-dep-right
BHEI_631_B-474-1-1-arr-right,BHEI_631_B-474-1-1-dep-right,BHEI_631_B-273-1-1-arr-right,BHEI_631_B-273-1-1-dep-right
BHEI_631_B-273-2-1-arr-right,BHEI_631_B-273-2-1-dep-right,BHEI_631_B-273-1-1-arr-right,BHEI_631_B-273-1-1-dep-right
BHO_701_B-474-1-1-arr-right,BHO_701_B-474-1-1-dep-right,BHO_701_B-273-1-1-arr-right,BHO_701_B-273-1-1-dep-right
BHO_701_B-474-1-1-arr-right,BHO_701_B-474-1-1-dep-right,BHO_701_B-54-1-1-arr-right,BHO_701_B-54-1-1-dep-right
BHO_701_B-474-1-1-arr-right,BHO_701_B-474-1-1-dep-right,BHO_701_B-273-2-1-arr-right,BHO_701_B-273-2-1-dep-right
BHO_701_B-273-1-1-arr-right,BHO_701_B-273-1-1-dep-right,BHO_701_B-54-1-1-arr-right,BHO_701_B-54-1-1-dep-right
BHO_701_B-273-1-1-arr-right,BHO_701_B-273-1-1-dep-right,BHO_701_B-273-2-1-arr-right,BHO_701_B-273-2-1-dep-right
BHO_701_B-54-1-1-arr-right,BHO_701_B-54-1-1-dep-right,BHO_701_B-273-2-1-arr-right,BHO_701_B-273-2-1-dep-right
BHAL_711_B-273-1-1-arr-right,BHAL_711_B-273-1-1-dep-right,BHAL_711_B-474-1-2-arr-left,BHAL_711_B-474-1-2-dep-left
BHAL_711_B-273-1-1-arr-right,BHAL_711_B-273-1-1-dep-right,BHAL_711_B-54-1-1-arr-right,BHAL_711_B-54-1-1-dep-right
BHAL_711_B-273-1-1-arr-right,BHAL_711_B-273-1-1-dep-right,BHAL_711_B-54-1-2-arr-left,BHAL_711_B-54-1-2-dep-left
BHAL_711_B-273-1-1-arr-right,BHAL_711_B-273-1-1-dep-right,BHAL_711_B-273-1-2-arr-left,BHAL_711_B-273-1-2-dep-left
BHAL_711_B-273-1-1-arr-right,BHAL_711_B-273-1-1-dep-right,BHAL_711_B-273-2-2-arr-left,BHAL_711_B-273-2-2-dep-left
BHAL_711_B-273-1-1-arr-right,BHAL_711_B-273-1-1-dep-right,BHAL_711_B-474-1-1-arr-right,BHAL_711_B-474-1-1-dep-right
BHAL_711_B-273-1-1-arr-right,BHAL_711_B-273-1-1-dep-right,BHAL_711_B-273-2-1-arr-right,BHAL_711_B-273-2-1-dep-right
BHAL_711_B-474-1-2-arr-left,BHAL_711_B-474-1-2-dep-left,BHAL_711_B-54-1-1-arr-right,BHAL_711_B-54-1-1-dep-right
BHAL_711_B-474-1-2-arr-left,BHAL_711_B-474-1-2-dep-left,BHAL_711_B-54-1-2-arr-left,BHAL_711_B-54-1-2-dep-left
BHAL_711_B-474-1-2-arr-left,BHAL_711_B-474-1-2-dep-left,BHAL_711_B-273-1-2-arr-left,BHAL_711_B-273-1-2-dep-left
BHAL_711_B-474-1-2-arr-left,BHAL_711_B-474-1-2-dep-left,BHAL_711_B-273-2-2-arr-left,BHAL_711_B-273-2-2-dep-left
BHAL_711_B-474-1-2-arr-left,BHAL_711_B-474-1-2-dep-left,BHAL_711_B-474-1-1-arr-right,BHAL_711_B-474-1-1-dep-right
BHAL_711_B-474-1-2-arr-left,BHAL_711_B-474-1-2-dep-left,BHAL_711_B-273-2-1-arr-right,BHAL_711_B-273-2-1-dep-right
BHAL_711_B-54-1-1-arr-right,BHAL_711_B-54-1-1-dep-right,BHAL_711_B-54-1-2-arr-left,BHAL_711_B-54-1-2-dep-left
BHAL_711_B-54-1-1-arr-right,BHAL_711_B-54-1-1-dep-right,BHAL_711_B-273-1-2-arr-left,BHAL_711_B-273-1-2-dep-left
BHAL_711_B-54-1-1-arr-right,BHAL_711_B-54-1-1-dep-right,BHAL_711_B-273-2-2-arr-left,BHAL_711_B-273-2-2-dep-left
BHAL_711_B-54-1-1-arr-right,BHAL_711_B-54-1-1-dep-right,BHAL_711_B-474-1-1-arr-right,BHAL_711_B-474-1-1-dep-right
BHAL_711_B-54-1-1-arr-right,BHAL_711_B-54-1-1-dep-right,BHAL_711_B-273-2-1-arr-right,BHAL_711_B-273-2-1-dep-right
BHAL_711_B-54-1-2-arr-left,BHAL_711_B-54-1-2-dep-left,BHAL_711_B-273-1-2-arr-left,BHAL_711_B-273-1-2-dep-left
BHAL_711_B-54-1-2-arr-left,BHAL_711_B-54-1-2-dep-left,BHAL_711_B-273-2-2-arr-left,BHAL_711_B-273-2-2-dep-left
BHAL_711_B-54-1-2-arr-left,BHAL_711_B-54-1-2-dep-left,BHAL_711_B-474-1-1-arr-right,BHAL_711_B-474-1-1-dep-right
BHAL_711_B-54-1-2-arr-left,BHAL_711_B-54-1-2-dep-left,BHAL_711_B-273-2-1-arr-right,BHAL_711_B-273-2-1-dep-right
BHAL_711_B-273-1-2-arr-left,BHAL_711_B-273-1-2-dep-left,BHAL_711_B-273-2-2-arr-left,BHAL_711_B-273-2-2-dep-left
BHAL_711_B-273-1-2-arr-left,BHAL_711_B-273-1-2-dep-left,BHAL_711_B-474-1-1-arr-right,BHAL_711_B-474-1-1-dep-right
BHAL_711_B-273-1-2-arr-left,BHAL_711_B-273-1-2-dep-left,BHAL_711_B-273-2-1-arr-right,BHAL_711_B-273-2-1-dep-right
BHAL_711_B-273-2-2-arr-left,BHAL_711_B-273-2-2-dep-left,BHAL_711_B-474-1-1-arr-right,BHAL_711_B-474-1-1-dep-right
BHAL_711_B-273-2-2-arr-left,BHAL_711_B-273-2-2-dep-left,BHAL_711_B-273-2-1-arr-right,BHAL_711_B-273-2-1-dep-right
BHAL_711_B-474-1-1-arr-right,BHAL_711_B-474-1-1-dep-right,BHAL_711_B-273-2-1-arr-right,BHAL_711_B-273-2-1-dep-right
BWKRR_801_B-54-1-1-arr-right,BWKRR_801_B-54-1-1-dep-right,BWKRR_801_B-474-1-1-arr-right,BWKRR_801_B-474-1-1-dep-right
BWKRR_801_B-54-1-1-arr-right,BWKRR_801_B-54-1-1-dep-right,BWKRR_801_B-273-1-1-arr-right,BWKRR_801_B-273-1-1-dep-right
BWKRR_801_B-54-1-1-arr-right,BWKRR_801_B-54-1-1-dep-right,BWKRR_801_B-273-2-1-arr-right,BWKRR_801_B-273-2-1-dep-right
BWKRR_801_B-474-1-1-arr-right,BWKRR_801_B-474-1-1-dep-right,BWKRR_801_B-273-1-1-arr-right,BWKRR_801_B-273-1-1-dep-right
BWKRR_801_B-474-1-1-arr-right,BWKRR_801_B-474-1-1-dep-right,BWKRR_801_B-273-2-1-arr-right,BWKRR_801_B-273-2-1-dep-right
BWKRR_801_B-273-1-1-arr-right,BWKRR_801_B-273-1-1-dep-right,BWKRR_801_B-273-2-1-arr-right,BWKRR_801_B-273-2-1-dep-right
BMN_801_B-54-1-1-arr-right,BMN_801_B-54-1-1-dep-right,BMN_801_B-273-1-1-arr-right,BMN_801_B-273-1-1-dep-right
BMN_801_B-54-1-1-arr-right,BMN_801_B-54-1-1-dep-right,BMN_801_B-273-2-1-arr-right,BMN_801_B-273-2-1-dep-right
BMN_801_B-54-1-1-arr-right,BMN_801_B-54-1-1-dep-right,BMN_801_B-474-1-1-arr-right,BMN_801_B-474-1-1-dep-right
BMN_801_B-273-1-1-arr-right,BMN_801_B-273-1-1-dep-right,BMN_801_B-273-2-1-arr-right,BMN_801_B-273-2-1-dep-right
BMN_801_B-273-1-1-arr-right,BMN_801_B-273-1-1-dep-right,BMN_801_B-474-1-1-arr-right,BMN_801_B-474-1-1-dep-right
BMN_801_B-273-2-1-arr-right,BMN_801_B-273-2-1-dep-right,BMN_801_B-474-1-1-arr-right,BMN_801_B-474-1-1-dep-right
BWES_811_B-54-1-12-arr-left,BWES_811_B-54-1-12-dep-left,BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-left
BWES_811_B-54-1-12-arr-left,BWES_811_B-54-1-12-dep-left,BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-right
BWES_811_B-54-1-12-arr-left,BWES_811_B-54-1-12-dep-left,BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-right
BWES_811_B-54-1-12-arr-left,BWES_811_B-54-1-12-dep-left,BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-right
BWES_811_B-54-1-12-arr-left,BWES_811_B-54-1-12-dep-left,BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-left
BWES_811_B-54-1-12-arr-left,BWES_811_B-54-1-12-dep-left,BWES_811_B-474-1-12-arr-left,BWES_811_B-474-1-12-dep-left
BWES_811_B-54-1-12-arr-left,BWES_811_B-54-1-12-dep-left,BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-right
BWES_811_B-54-1-12-arr-left,BWES_811_B-54-1-12-dep-left,BWES_811_B-273-1-12-arr-left,BWES_811_B-273-1-12-dep-left
BWES_811_B-54-1-12-arr-left,BWES_811_B-54-1-12-dep-left,BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-left
BWES_811_B-54-1-12-arr-left,BWES_811_B-54-1-12-dep-left,BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-left
BWES_811_B-54-1-12-arr-left,BWES_811_B-54-1-12-dep-left,BWES_811_B-273-2-12-arr-left,BWES_811_B-273-2-12-dep-left
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-left,BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-right
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-left,BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-right
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-left,BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-right
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-left,BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-left
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-left,BWES_811_B-474-1-12-arr-left,BWES_811_B-474-1-12-dep-left
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-left,BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-right
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-left,BWES_811_B-273-1-12-arr-left,BWES_811_B-273-1-12-dep-left
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-left,BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-left
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-left,BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-left
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-left,BWES_811_B-273-2-12-arr-left,BWES_811_B-273-2-12-dep-left
BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-right,BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-right
BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-right,BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-right
BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-right,BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-left
BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-right,BWES_811_B-474-1-12-arr-left,BWES_811_B-474-1-12-dep-left
BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-right,BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-right
BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-right,BWES_811_B-273-1-12-arr-left,BWES_811_B-273-1-12-dep-left
BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-right,BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-left
BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-right,BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-left
BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-right,BWES_811_B-273-2-12-arr-left,BWES_811_B-273-2-12-dep-left
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-right,BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-right
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-right,BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-left
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-right,BWES_811_B-474-1-12-arr-left,BWES_811_B-474-1-12-dep-left
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-right,BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-right
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-right,BWES_811_B-273-1-12-arr-left,BWES_811_B-273-1-12-dep-left
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-right,BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-left
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-right,BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-left
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-right,BWES_811_B-273-2-12-arr-left,BWES_811_B-273-2-12-dep-left
BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-right,BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-left
BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-right,BWES_811_B-474-1-12-arr-left,BWES_811_B-474-1-12-dep-left
BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-right,BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-right
BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-right,BWES_811_B-273-1-12-arr-left,BWES_811_B-273-1-12-dep-left
BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-right,BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-left
BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-right,BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-left
BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-right,BWES_811_B-273-2-12-arr-left,BWES_811_B-273-2-12-dep-left
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-left,BWES_811_B-474-1-12-arr-left,BWES_811_B-474-1-12-dep-left
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-left,BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-right
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-left,BWES_811_B-273-1-12-arr-left,BWES_811_B-273-1-12-dep-left
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-left,BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-left
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-left,BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-left
BWES_811_B-54-1-12-arr-right,BWES_811_B-54-1-12-dep-left,BWES_811_B-273-2-12-arr-left,BWES_811_B-273-2-12-dep-left
BWES_811_B-474-1-12-arr-left,BWES_811_B-474-1-12-dep-left,BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-right
BWES_811_B-474-1-12-arr-left,BWES_811_B-474-1-12-dep-left,BWES_811_B-273-1-12-arr-left,BWES_811_B-273-1-12-dep-left
BWES_811_B-474-1-12-arr-left,BWES_811_B-474-1-12-dep-left,BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-left
BWES_811_B-474-1-12-arr-left,BWES_811_B-474-1-12-dep-left,BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-left
BWES_811_B-474-1-12-arr-left,BWES_811_B-474-1-12-dep-left,BWES_811_B-273-2-12-arr-left,BWES_811_B-273-2-12-dep-left
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-right,BWES_811_B-273-1-12-arr-left,BWES_811_B-273-1-12-dep-left
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-right,BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-left
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-right,BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-left
BWES_811_B-273-1-12-arr-right,BWES_811_B-273-1-12-dep-right,BWES_811_B-273-2-12-arr-left,BWES_811_B-273-2-12-dep-left
BWES_811_B-273-1-12-arr-left,BWES_811_B-273-1-12-dep-left,BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-left
BWES_811_B-273-1-12-arr-left,BWES_811_B-273-1-12-dep-left,BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-left
BWES_811_B-273-1-12-arr-left,BWES_811_B-273-1-12-dep-left,BWES_811_B-273-2-12-arr-left,BWES_811_B-273-2-12-dep-left
BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-left,BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-left
BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-left,BWES_811_B-273-2-12-arr-left,BWES_811_B-273-2-12-dep-left
BWES_811_B-273-2-12-arr-right,BWES_811_B-273-2-12-dep-left,BWES_811_B-273-2-12-arr-left,BWES_811_B-273-2-12-dep-left
BMN_802_B-474-1-2-arr-right,BMN_802_B-474-1-2-dep-right,BMN_802_B-273-2-2-arr-right,BMN_802_B-273-2-2-dep-right
BMN_802_B-474-1-2-arr-right,BMN_802_B-474-1-2-dep-right,BMN_802_B-54-1-2-arr-right,BMN_802_B-54-1-2-dep-right
BMN_802_B-474-1-2-arr-right,BMN_802_B-474-1-2-dep-right,BMN_802_B-273-1-2-arr-right,BMN_802_B-273-1-2-dep-right
BMN_802_B-273-2-2-arr-right,BMN_802_B-273-2-2-dep-right,BMN_802_B-54-1-2-arr-right,BMN_802_B-54-1-2-dep-right
BMN_802_B-273-2-2-arr-right,BMN_802_B-273-2-2-dep-right,BMN_802_B-273-1-2-arr-right,BMN_802_B-273-1-2-dep-right
BMN_802_B-54-1-2-arr-right,BMN_802_B-54-1-2-dep-right,BMN_802_B-273-1-2-arr-right,BMN_802_B-273-1-2-dep-right
BWKRR_802_B-273-2-2-arr-right,BWKRR_802_B-273-2-2-dep-right,BWKRR_802_B-474-1-2-arr-right,BWKRR_802_B-474-1-2-dep-right
BWKRR_802_B-273-2-2-arr-right,BWKRR_802_B-273-2-2-dep-right,BWKRR_802_B-54-1-2-arr-right,BWKRR_802_B-54-1-2-dep-right
BWKRR_802_B-273-2-2-arr-right,BWKRR_802_B-273-2-2-dep-right,BWKRR_802_B-273-1-2-arr-right,BWKRR_802_B-273-1-2-dep-right
BWKRR_802_B-474-1-2-arr-right,BWKRR_802_B-474-1-2-dep-right,BWKRR_802_B-54-1-2-arr-right,BWKRR_802_B-54-1-2-dep-right
BWKRR_802_B-474-1-2-arr-right,BWKRR_802_B-474-1-2-dep-right,BWKRR_802_B-273-1-2-arr-right,BWKRR_802_B-273-1-2-dep-right
BWKRR_802_B-54-1-2-arr-right,BWKRR_802_B-54-1-2-dep-right,BWKRR_802_B-273-1-2-arr-right,BWKRR_802_B-273-1-2-dep-right
BHAL_712_B-54-1-2-arr-right,BHAL_712_B-54-1-2-dep-right,BHAL_712_B-273-1-2-arr-right,BHAL_712_B-273-1-2-dep-right
BHAL_712_B-54-1-2-arr-right,BHAL_712_B-54-1-2-dep-right,BHAL_712_B-273-2-2-arr-right,BHAL_712_B-273-2-2-dep-right
BHAL_712_B-54-1-2-arr-right,BHAL_712_B-54-1-2-dep-right,BHAL_712_B-474-1-2-arr-right,BHAL_712_B-474-1-2-dep-right
BHAL_712_B-273-1-2-arr-right,BHAL_712_B-273-1-2-dep-right,BHAL_712_B-273-2-2-arr-right,BHAL_712_B-273-2-2-dep-right
BHAL_712_B-273-1-2-arr-right,BHAL_712_B-273-1-2-dep-right,BHAL_712_B-474-1-2-arr-right,BHAL_712_B-474-1-2-dep-right
BHAL_712_B-273-2-2-arr-right,BHAL_712_B-273-2-2-dep-right,BHAL_712_B-474-1-2-arr-right,BHAL_712_B-474-1-2-dep-right
BHO_702_B-273-2-2-arr-right,BHO_702_B-273-2-2-dep-right,BHO_702_B-54-1-2-arr-right,BHO_702_B-54-1-2-dep-right
BHO_702_B-273-2-2-arr-right,BHO_702_B-273-2-2-dep-right,BHO_702_B-474-1-2-arr-right,BHO_702_B-474-1-2-dep-right
BHO_702_B-273-2-2-arr-right,BHO_702_B-273-2-2-dep-right,BHO_702_B-273-1-2-arr-right,BHO_702_B-273-1-2-dep-right
BHO_702_B-54-1-2-arr-right,BHO_702_B-54-1-2-dep-right,BHO_702_B-474-1-2-arr-right,BHO_702_B-474-1-2-dep-right
BHO_702_B-54-1-2-arr-right,BHO_702_B-54-1-2-dep-right,BHO_702_B-273-1-2-arr-right,BHO_702_B-273-1-2-dep-right
BHO_702_B-474-1-2-arr-right,BHO_702_B-474-1-2-dep-right,BHO_702_B-273-1-2-arr-right,BHO_702_B-273-1-2-dep-right
BHEI_632_B-54-1-2-arr-right,BHEI_632_B-54-1-2-dep-right,BHEI_632_B-474-1-2-arr-right,BHEI_632_B-474-1-2-dep-right
BHEI_632_B-54-1-2-arr-right,BHEI_632_B-54-1-2-dep-right,BHEI_632_B-273-2-2-arr-right,BHEI_632_B-273-2-2-dep-right
BHEI_632_B-54-1-2-arr-right,BHEI_632_B-54-1-2-dep-right,BHEI_632_B-273-1-2-arr-right,BHEI_632_B-273-1-2-dep-right
BHEI_632_B-474-1-2-arr-right,BHEI_632_B-474-1-2-dep-right,BHEI_632_B-273-2-2-arr-right,BHEI_632_B-273-2-2-dep-right
BHEI_632_B-474-1-2-arr-right,BHEI_632_B-474-1-2-dep-right,BHEI_632_B-273-1-2-arr-right,BHEI_632_B-273-1-2-dep-right
BHEI_632_B-273-2-2-arr-right,BHEI_632_B-273-2-2-dep-right,BHEI_632_B-273-1-2-arr-right,BHEI_632_B-273-1-2-dep-right
BBUP_622_B-273-1-2-arr-right,BBUP_622_B-273-1-2-dep-right,BBUP_622_B-273-2-2-arr-right,BBUP_622_B-273-2-2-dep-right
BBUP_622_B-273-1-2-arr-right,BBUP_622_B-273-1-2-dep-right,BBUP_622_B-54-1-2-arr-right,BBUP_622_B-54-1-2-dep-right
BBUP_622_B-273-1-2-arr-right,BBUP_622_B-273-1-2-dep-right,BBUP_622_B-474-1-2-arr-right,BBUP_622_B-474-1-2-dep-right
BBUP_622_B-273-2-2-arr-right,BBUP_622_B-273-2-2-dep-right,BBUP_622_B-54-1-2-arr-right,BBUP_622_B-54-1-2-dep-right
BBUP_622_B-273-2-2-arr-right,BBUP_622_B-273-2-2-dep-right,BBUP_622_B-474-1-2-arr-right,BBUP_622_B-474-1-2-dep-right
BBUP_622_B-54-1-2-arr-right,BBUP_622_B-54-1-2-dep-right,BBUP_622_B-474-1-2-arr-right,BBUP_622_B-474-1-2-dep-right
BIP_612_B-273-1-2-arr-right,BIP_612_B-273-1-2-dep-right,BIP_612_B-54-1-2-arr-right,BIP_612_B-54-1-2-dep-right
BIP_612_B-273-1-2-arr-right,BIP_612_B-273-1-2-dep-right,BIP_612_B-273-2-2-arr-right,BIP_612_B-273-2-2-dep-right
BIP_612_B-273-1-2-arr-right,BIP_612_B-273-1-2-dep-right,BIP_612_B-474-1-2-arr-right,BIP_612_B-474-1-2-dep-right
BIP_612_B-54-1-2-arr-right,BIP_612_B-54-1-2-dep-right,BIP_612_B-273-2-2-arr-right,BIP_612_B-273-2-2-dep-right
BIP_612_B-54-1-2-arr-right,BIP_612_B-54-1-2-dep-right,BIP_612_B-474-1-2-arr-right,BIP_612_B-474-1-2-dep-right
