# number of nodes: 578
# number of edges: 623
# number of fixed handles: 6
# 
start;end;type;l;u;w;in_regelrichtung
BGB_723_B-6-1-1-dep-right;BSAL_771_B-6-1-1-arr-right;driving;19;19;2;-
BSAL_771_B-6-1-1-arr-right;BSAL_771_B-6-1-1-dep-right;waiting;5;25;2;-
BSAL_771_B-6-1-1-dep-right;BPLA_781_B-6-1-1-arr-right;driving;13;13;2;-
BPLA_781_B-6-1-1-arr-right;BPLA_781_B-6-1-1-dep-right;waiting;5;25;2;-
BPLA_781_B-6-1-1-dep-right;BGSS_511_B-6-1-1-arr-right;driving;15;15;2;-
BGSS_511_B-6-1-1-arr-right;BGSS_511_B-6-1-1-dep-right;waiting;5;25;2;-
BGSS_511_B-6-1-1-dep-right;BLST_531_B-6-1-1-arr-right;driving;19;19;2;-
BGSS_511_B-6-1-1-dep-right;BLST_532_B-6-1-1-arr-left;driving;24;24;2;-
BLST_531_B-6-1-1-arr-right;BLST_531_B-6-1-1-dep-right;waiting;5;25;2;-
BLST_532_B-6-1-1-arr-left;BLST_532_B-6-1-1-dep-left;waiting;5;25;2;-
BLST_531_B-6-1-1-dep-right;BSTO_541_B-6-1-1-arr-right;driving;15;15;2;-
BSTO_541_B-6-1-1-arr-right;BSTO_541_B-6-1-1-dep-right;waiting;5;25;2;-
BLST_532_B-6-1-1-dep-left;BSTO_541_B-6-1-1-arr-right;driving;20;20;2;-
BSTO_541_B-6-1-1-dep-right;BFA_541_B-6-1-1-arr-right;driving;15;15;2;-
BFA_541_B-6-1-1-arr-right;BFA_541_B-6-1-1-dep-right;waiting;5;25;2;-
BFA_541_B-6-1-1-dep-right;BOK_551_B-6-1-1-arr-right;driving;18;18;2;-
BOK_551_B-6-1-1-arr-right;BOK_551_B-6-1-1-dep-right;waiting;5;25;2;-
BOK_551_B-6-1-1-dep-right;BTP_571_B-6-1-1-arr-right;driving;15;15;2;-
BOK_551_B-6-1-1-dep-right;BTP_572_B-6-1-1-arr-left;driving;20;20;2;-
BOK_551_B-6-1-1-dep-right;BTP_574_B-6-1-1-arr-left;driving;20;20;2;-
BOK_551_B-6-1-1-dep-right;BTP_573_B-6-1-1-arr-right;driving;15;15;2;-
BTP_571_B-6-1-1-arr-right;BTP_571_B-6-1-1-dep-right;waiting;5;25;2;-
BTP_572_B-6-1-1-arr-left;BTP_572_B-6-1-1-dep-left;waiting;5;25;2;-
BTP_574_B-6-1-1-arr-left;BTP_574_B-6-1-1-dep-left;waiting;5;25;2;-
BTP_573_B-6-1-1-arr-right;BTP_573_B-6-1-1-dep-right;waiting;5;25;2;-
BTP_571_B-6-1-1-dep-right;BSO_401_B-6-1-1-arr-right;driving;27;27;2;-
BSO_401_B-6-1-1-arr-right;BSO_401_B-6-1-1-dep-right;waiting;5;33;2;-
BTP_572_B-6-1-1-dep-left;BSO_401_B-6-1-1-arr-right;driving;32;32;2;-
BTP_574_B-6-1-1-dep-left;BSO_401_B-6-1-1-arr-right;driving;32;32;2;-
BTP_573_B-6-1-1-dep-right;BSO_401_B-6-1-1-arr-right;driving;27;27;2;-
BSO_401_B-6-1-1-dep-right;BNK_461_B-6-1-1-arr-right;driving;14;14;2;-
BNK_461_B-6-1-1-arr-right;BNK_461_B-6-1-1-dep-right;waiting;5;25;2;-
BNK_461_B-6-1-1-dep-right;BHER_471_B-6-1-1-arr-right;driving;12;12;2;-
BHER_471_B-6-1-1-arr-right;BHER_471_B-6-1-1-dep-right;waiting;5;25;2;-
BHER_471_B-6-1-1-dep-right;BTHF_511_B-6-1-1-arr-right;driving;33;33;2;-
BTHF_511_B-6-1-1-arr-right;BTHF_511_B-6-1-1-dep-right;waiting;5;29;2;-
BTHF_511_B-6-1-1-dep-right;BSKR_531_B-6-1-1-arr-right;driving;18;18;2;-
BSKR_531_B-6-1-1-arr-right;BSKR_531_B-6-1-1-dep-right;waiting;5;33;2;-
BSKR_531_B-6-1-1-dep-right;BSGR_601_B-6-1-1-arr-right;driving;15;15;2;-
BSGR_601_B-6-1-1-arr-right;BSGR_601_B-6-1-1-dep-right;waiting;5;50;2;-
BIP_611_B-6-1-1-arr-right;BIP_611_B-6-1-1-dep-right;waiting;5;50;2;-
BSGR_601_B-6-1-1-dep-right;BIP_611_B-6-1-1-arr-right;driving;12;12;2;-
BIP_611_B-6-2-1-dep-right;BBUP_621_B-6-2-1-arr-right;driving;13;13;2;-
BBUP_621_B-6-2-1-arr-right;BBUP_621_B-6-2-1-dep-right;waiting;5;50;2;-
BBUP_621_B-6-2-1-dep-right;BHEI_631_B-6-2-1-arr-right;driving;16;16;2;-
BHEI_631_B-6-2-1-arr-right;BHEI_631_B-6-2-1-dep-right;waiting;5;50;2;-
BHEI_631_B-6-2-1-dep-right;BHO_701_B-6-2-1-arr-right;driving;15;15;2;-
BHO_701_B-6-2-1-arr-right;BHO_701_B-6-2-1-dep-right;waiting;5;50;2;-
BHO_701_B-6-2-1-dep-right;BHAL_711_B-6-2-1-arr-right;driving;15;15;2;-
BHAL_711_B-6-2-1-arr-right;BHAL_711_B-6-2-1-dep-right;waiting;5;33;2;-
BHAL_711_B-6-2-1-dep-right;BWKRR_801_B-6-2-1-arr-right;driving;11;11;2;-
BWKRR_801_B-6-2-1-arr-right;BWKRR_801_B-6-2-1-dep-right;waiting;5;33;2;-
BWKRR_801_B-6-2-1-dep-right;BMN_801_B-6-2-1-arr-right;driving;12;12;2;-
BMN_801_B-6-2-1-arr-right;BMN_801_B-6-2-1-dep-right;waiting;5;33;2;-
BMN_801_B-6-2-1-dep-right;BWES_811_B-6-2-1-arr-right;driving;15;15;2;-
BWES_811_B-6-2-1-arr-right;BWES_811_B-6-2-1-dep-right;waiting;5;33;2;-
BJUN_955_B-6-2-1-arr-right;BJUN_955_B-6-2-1-dep-right;waiting;5;33;2;-
BWES_811_B-6-2-1-dep-right;BJUN_955_B-6-2-1-arr-right;driving;24;24;2;-
BJUN_955_B-6-2-1-dep-right;BBEU_811_B-6-2-1-arr-right;driving;21;21;2;-
BBEU_811_B-6-2-1-arr-right;BBEU_811_B-6-2-1-dep-right;waiting;5;33;2;-
BBEU_811_B-6-2-1-dep-right;BWH_831_B-6-2-1-arr-right;driving;14;14;2;-
BWH_831_B-6-2-1-arr-right;BWH_831_B-6-2-1-dep-right;waiting;5;33;2;-
BWH_831_B-6-2-1-dep-right;BWED_841_B-6-2-1-arr-right;driving;22;22;2;-
BWED_841_B-6-2-1-arr-right;BWED_841_B-6-2-1-dep-right;waiting;5;33;2;-
BGB_723_B-6-2-1-arr-right;BGB_723_B-6-2-1-dep-right;waiting;5;33;2;-
BWED_841_B-6-2-1-dep-right;BGB_723_B-6-2-1-arr-right;driving;19;19;2;-
BGB_723_B-6-2-1-dep-right;BSAL_771_B-6-2-1-arr-right;driving;19;19;2;-
BSAL_771_B-6-2-1-arr-right;BSAL_771_B-6-2-1-dep-right;waiting;5;25;2;-
BSAL_771_B-6-2-1-dep-right;BPLA_781_B-6-2-1-arr-right;driving;13;13;2;-
BPLA_781_B-6-2-1-arr-right;BPLA_781_B-6-2-1-dep-right;waiting;5;25;2;-
BPLA_781_B-6-2-1-dep-right;BGSS_511_B-6-2-1-arr-right;driving;15;15;2;-
BGSS_511_B-6-2-1-arr-right;BGSS_511_B-6-2-1-dep-right;waiting;5;25;2;-
BGSS_511_B-6-2-1-dep-right;BLST_531_B-6-2-1-arr-right;driving;19;19;2;-
BGSS_511_B-6-2-1-dep-right;BLST_532_B-6-2-1-arr-left;driving;24;24;2;-
BLST_531_B-6-2-1-arr-right;BLST_531_B-6-2-1-dep-right;waiting;5;25;2;-
BLST_532_B-6-2-1-arr-left;BLST_532_B-6-2-1-dep-left;waiting;5;25;2;-
BLST_531_B-6-2-1-dep-right;BSTO_541_B-6-2-1-arr-right;driving;15;15;2;-
BSTO_541_B-6-2-1-arr-right;BSTO_541_B-6-2-1-dep-right;waiting;5;25;2;-
BLST_532_B-6-2-1-dep-left;BSTO_541_B-6-2-1-arr-right;driving;20;20;2;-
BSTO_541_B-6-2-1-dep-right;BFA_541_B-6-2-1-arr-right;driving;15;15;2;-
BFA_541_B-6-2-1-arr-right;BFA_541_B-6-2-1-dep-right;waiting;5;25;2;-
BFA_541_B-6-2-1-dep-right;BOK_551_B-6-2-1-arr-right;driving;18;18;2;-
BOK_551_B-6-2-1-arr-right;BOK_551_B-6-2-1-dep-right;waiting;5;25;2;-
BOK_551_B-6-2-1-dep-right;BTP_571_B-6-2-1-arr-right;driving;15;15;2;-
BOK_551_B-6-2-1-dep-right;BTP_572_B-6-2-1-arr-left;driving;20;20;2;-
BOK_551_B-6-2-1-dep-right;BTP_574_B-6-2-1-arr-left;driving;20;20;2;-
BOK_551_B-6-2-1-dep-right;BTP_573_B-6-2-1-arr-right;driving;15;15;2;-
BTP_571_B-6-2-1-arr-right;BTP_571_B-6-2-1-dep-right;waiting;5;25;2;-
BTP_572_B-6-2-1-arr-left;BTP_572_B-6-2-1-dep-left;waiting;5;25;2;-
BTP_574_B-6-2-1-arr-left;BTP_574_B-6-2-1-dep-left;waiting;5;25;2;-
BTP_573_B-6-2-1-arr-right;BTP_573_B-6-2-1-dep-right;waiting;5;25;2;-
BTP_571_B-6-2-1-dep-right;BSO_401_B-6-2-1-arr-right;driving;27;27;2;-
BSO_401_B-6-2-1-arr-right;BSO_401_B-6-2-1-dep-right;waiting;5;33;2;-
BTP_572_B-6-2-1-dep-left;BSO_401_B-6-2-1-arr-right;driving;32;32;2;-
BTP_574_B-6-2-1-dep-left;BSO_401_B-6-2-1-arr-right;driving;32;32;2;-
BTP_573_B-6-2-1-dep-right;BSO_401_B-6-2-1-arr-right;driving;27;27;2;-
BSO_401_B-6-2-1-dep-right;BNK_461_B-6-2-1-arr-right;driving;14;14;2;-
BNK_461_B-6-2-1-arr-right;BNK_461_B-6-2-1-dep-right;waiting;5;25;2;-
BNK_461_B-6-2-1-dep-right;BHER_471_B-6-2-1-arr-right;driving;12;12;2;-
BHER_471_B-6-2-1-arr-right;BHER_471_B-6-2-1-dep-right;waiting;5;25;2;-
BHER_471_B-6-2-1-dep-right;BTHF_511_B-6-2-1-arr-right;driving;33;33;2;-
BTHF_511_B-6-2-1-arr-right;BTHF_511_B-6-2-1-dep-right;waiting;5;29;2;-
BTHF_511_B-6-2-1-dep-right;BSKR_531_B-6-2-1-arr-right;driving;18;18;2;-
BSKR_531_B-6-2-1-arr-right;BSKR_531_B-6-2-1-dep-right;waiting;5;33;2;-
BSKR_531_B-6-2-1-dep-right;BSGR_601_B-6-2-1-arr-right;driving;15;15;2;-
BSGR_601_B-6-2-1-arr-right;BSGR_601_B-6-2-1-dep-right;waiting;5;50;2;-
BIP_611_B-6-2-1-arr-right;BIP_611_B-6-2-1-dep-right;waiting;5;50;2;-
BSGR_601_B-6-2-1-dep-right;BIP_611_B-6-2-1-arr-right;driving;12;12;2;-
BIP_611_B-7-1-1-dep-left;BSGR_602_B-7-1-1-arr-right;driving;16;16;2;-
BSGR_602_B-7-1-1-arr-right;BSGR_602_B-7-1-1-dep-right;waiting;5;50;2;-
BSGR_602_B-7-1-1-dep-right;BSKR_532_B-7-1-1-arr-right;driving;14;14;2;-
BSKR_532_B-7-1-1-arr-right;BSKR_532_B-7-1-1-dep-right;waiting;5;33;2;-
BSKR_532_B-7-1-1-dep-right;BTHF_512_B-7-1-1-arr-right;driving;20;20;2;-
BTHF_512_B-7-1-1-arr-right;BTHF_512_B-7-1-1-dep-right;waiting;5;29;2;-
BHER_472_B-7-1-1-arr-right;BHER_472_B-7-1-1-dep-right;waiting;5;25;2;-
BTHF_512_B-7-1-1-dep-right;BHER_472_B-7-1-1-arr-right;driving;33;33;2;-
BHER_472_B-7-1-1-dep-right;BNK_462_B-7-1-1-arr-right;driving;12;12;2;-
BNK_462_B-7-1-1-arr-right;BNK_462_B-7-1-1-dep-right;waiting;5;25;2;-
BNK_462_B-7-1-1-dep-right;BSO_402_B-7-1-1-arr-right;driving;13;13;2;-
BSO_402_B-7-1-1-arr-right;BSO_402_B-7-1-1-dep-right;waiting;5;33;2;-
BSO_402_B-7-1-1-dep-right;BTP_572_B-7-1-1-arr-right;driving;27;27;2;-
BTP_572_B-7-1-1-arr-right;BTP_572_B-7-1-1-dep-right;waiting;5;25;2;-
BTP_572_B-7-1-1-dep-right;BOK_552_B-7-1-1-arr-right;driving;17;17;2;-
BOK_552_B-7-1-1-arr-right;BOK_552_B-7-1-1-dep-right;waiting;5;25;2;-
BFA_542_B-7-1-1-arr-right;BFA_542_B-7-1-1-dep-right;waiting;5;25;2;-
BOK_552_B-7-1-1-dep-right;BFA_542_B-7-1-1-arr-right;driving;17;17;2;-
BFA_542_B-7-1-1-dep-right;BSTO_542_B-7-1-1-arr-right;driving;16;16;2;-
BSTO_542_B-7-1-1-arr-right;BSTO_542_B-7-1-1-dep-right;waiting;5;25;2;-
BSTO_542_B-7-1-1-dep-right;BLST_532_B-7-1-1-arr-right;driving;14;14;2;-
BLST_532_B-7-1-1-arr-right;BLST_532_B-7-1-1-dep-right;waiting;5;25;2;-
BLST_532_B-7-1-1-dep-right;BGSS_512_B-7-1-1-arr-right;driving;19;19;2;-
BGSS_512_B-7-1-1-arr-right;BGSS_512_B-7-1-1-dep-right;waiting;5;25;2;-
BGSS_512_B-7-1-1-dep-right;BPLA_782_B-7-1-1-arr-right;driving;15;15;2;-
BPLA_782_B-7-1-1-arr-right;BPLA_782_B-7-1-1-dep-right;waiting;5;25;2;-
BPLA_782_B-7-1-1-dep-right;BSAL_771_B-7-1-1-arr-left;driving;18;18;2;-
BPLA_782_B-7-1-1-dep-right;BSAL_772_B-7-1-1-arr-right;driving;13;13;2;-
BSAL_771_B-7-1-1-arr-left;BSAL_771_B-7-1-1-dep-left;waiting;5;25;2;-
BSAL_772_B-7-1-1-arr-right;BSAL_772_B-7-1-1-dep-right;waiting;5;25;2;-
BSAL_771_B-7-1-1-dep-left;BGB_722_B-7-1-1-arr-right;driving;24;24;2;-
BGB_722_B-7-1-1-arr-right;BGB_722_B-7-1-1-dep-right;waiting;5;33;2;-
BSAL_772_B-7-1-1-dep-right;BGB_722_B-7-1-1-arr-right;driving;19;19;2;-
BGB_722_B-7-1-1-dep-right;BWED_842_B-7-1-1-arr-right;driving;19;19;2;-
BWED_842_B-7-1-1-arr-right;BWED_842_B-7-1-1-dep-right;waiting;5;33;2;-
BWED_842_B-7-1-1-dep-right;BWH_832_B-7-1-1-arr-right;driving;20;20;2;-
BWH_832_B-7-1-1-arr-right;BWH_832_B-7-1-1-dep-right;waiting;5;33;2;-
BWH_832_B-7-1-1-dep-right;BBEU_812_B-7-1-1-arr-right;driving;14;14;2;-
BBEU_812_B-7-1-1-arr-right;BBEU_812_B-7-1-1-dep-right;waiting;5;33;2;-
BJUN_956_B-7-1-1-arr-right;BJUN_956_B-7-1-1-dep-right;waiting;5;33;2;-
BBEU_812_B-7-1-1-dep-right;BJUN_956_B-7-1-1-arr-right;driving;22;22;2;-
BJUN_956_B-7-1-1-dep-right;BWES_812_B-7-1-1-arr-right;driving;24;24;2;-
BJUN_956_B-7-1-1-dep-right;BWES_811_B-7-1-1-arr-left;driving;29;29;2;-
BWES_812_B-7-1-1-arr-right;BWES_812_B-7-1-1-dep-right;waiting;5;33;2;-
BWES_811_B-7-1-1-arr-left;BWES_811_B-7-1-1-dep-left;waiting;5;33;2;-
BWES_812_B-7-1-1-dep-right;BMN_802_B-7-1-1-arr-right;driving;15;15;2;-
BMN_802_B-7-1-1-arr-right;BMN_802_B-7-1-1-dep-right;waiting;5;33;2;-
BWES_811_B-7-1-1-dep-left;BMN_802_B-7-1-1-arr-right;driving;20;20;2;-
BMN_802_B-7-1-1-dep-right;BWKRR_802_B-7-1-1-arr-right;driving;12;12;2;-
BWKRR_802_B-7-1-1-arr-right;BWKRR_802_B-7-1-1-dep-right;waiting;5;33;2;-
BWKRR_802_B-7-1-1-dep-right;BHAL_711_B-7-1-1-arr-left;driving;16;16;2;-
BWKRR_802_B-7-1-1-dep-right;BHAL_712_B-7-1-1-arr-right;driving;11;11;2;-
BHAL_711_B-7-1-1-arr-left;BHAL_711_B-7-1-1-dep-left;waiting;5;33;2;-
BHAL_712_B-7-1-1-arr-right;BHAL_712_B-7-1-1-dep-right;waiting;5;33;2;-
BHAL_711_B-7-1-1-dep-left;BHO_702_B-7-1-1-arr-right;driving;19;19;2;-
BHO_702_B-7-1-1-arr-right;BHO_702_B-7-1-1-dep-right;waiting;5;50;2;-
BHAL_712_B-7-1-1-dep-right;BHO_702_B-7-1-1-arr-right;driving;14;14;2;-
BHO_702_B-7-1-1-dep-right;BHEI_632_B-7-1-1-arr-right;driving;16;16;2;-
BHEI_632_B-7-1-1-arr-right;BHEI_632_B-7-1-1-dep-right;waiting;5;50;2;-
BHEI_632_B-7-1-1-dep-right;BBUP_621_B-7-1-1-arr-left;driving;21;21;2;-
BBUP_621_B-7-1-1-arr-left;BBUP_621_B-7-1-1-dep-left;waiting;5;50;2;-
BBUP_621_B-7-1-1-dep-left;BIP_611_B-7-1-1-arr-left;driving;13;13;2;-
BIP_611_B-7-1-1-arr-left;BIP_611_B-7-1-1-dep-left;waiting;5;50;2;-
BIP_611_B-7-2-1-dep-left;BSGR_602_B-7-2-1-arr-right;driving;16;16;2;-
BSGR_602_B-7-2-1-arr-right;BSGR_602_B-7-2-1-dep-right;waiting;5;50;2;-
BSGR_602_B-7-2-1-dep-right;BSKR_532_B-7-2-1-arr-right;driving;14;14;2;-
BSKR_532_B-7-2-1-arr-right;BSKR_532_B-7-2-1-dep-right;waiting;5;33;2;-
BSKR_532_B-7-2-1-dep-right;BTHF_512_B-7-2-1-arr-right;driving;20;20;2;-
BTHF_512_B-7-2-1-arr-right;BTHF_512_B-7-2-1-dep-right;waiting;5;29;2;-
BHER_472_B-7-2-1-arr-right;BHER_472_B-7-2-1-dep-right;waiting;5;25;2;-
BTHF_512_B-7-2-1-dep-right;BHER_472_B-7-2-1-arr-right;driving;33;33;2;-
BHER_472_B-7-2-1-dep-right;BNK_462_B-7-2-1-arr-right;driving;12;12;2;-
BNK_462_B-7-2-1-arr-right;BNK_462_B-7-2-1-dep-right;waiting;5;25;2;-
BNK_462_B-7-2-1-dep-right;BSO_402_B-7-2-1-arr-right;driving;13;13;2;-
BSO_402_B-7-2-1-arr-right;BSO_402_B-7-2-1-dep-right;waiting;5;33;2;-
BSO_402_B-7-2-1-dep-right;BTP_572_B-7-2-1-arr-right;driving;27;27;2;-
BTP_572_B-7-2-1-arr-right;BTP_572_B-7-2-1-dep-right;waiting;5;25;2;-
BTP_572_B-7-2-1-dep-right;BOK_552_B-7-2-1-arr-right;driving;17;17;2;-
BOK_552_B-7-2-1-arr-right;BOK_552_B-7-2-1-dep-right;waiting;5;25;2;-
BFA_542_B-7-2-1-arr-right;BFA_542_B-7-2-1-dep-right;waiting;5;25;2;-
BOK_552_B-7-2-1-dep-right;BFA_542_B-7-2-1-arr-right;driving;17;17;2;-
BFA_542_B-7-2-1-dep-right;BSTO_542_B-7-2-1-arr-right;driving;16;16;2;-
BSTO_542_B-7-2-1-arr-right;BSTO_542_B-7-2-1-dep-right;waiting;5;25;2;-
BSTO_542_B-7-2-1-dep-right;BLST_532_B-7-2-1-arr-right;driving;14;14;2;-
BLST_532_B-7-2-1-arr-right;BLST_532_B-7-2-1-dep-right;waiting;5;25;2;-
BLST_532_B-7-2-1-dep-right;BGSS_512_B-7-2-1-arr-right;driving;19;19;2;-
BGSS_512_B-7-2-1-arr-right;BGSS_512_B-7-2-1-dep-right;waiting;5;25;2;-
BGSS_512_B-7-2-1-dep-right;BPLA_782_B-7-2-1-arr-right;driving;15;15;2;-
BPLA_782_B-7-2-1-arr-right;BPLA_782_B-7-2-1-dep-right;waiting;5;25;2;-
BPLA_782_B-7-2-1-dep-right;BSAL_771_B-7-2-1-arr-left;driving;18;18;2;-
BPLA_782_B-7-2-1-dep-right;BSAL_772_B-7-2-1-arr-right;driving;13;13;2;-
BSAL_771_B-7-2-1-arr-left;BSAL_771_B-7-2-1-dep-left;waiting;5;25;2;-
BSAL_772_B-7-2-1-arr-right;BSAL_772_B-7-2-1-dep-right;waiting;5;25;2;-
BSAL_771_B-7-2-1-dep-left;BGB_722_B-7-2-1-arr-right;driving;24;24;2;-
BGB_722_B-7-2-1-arr-right;BGB_722_B-7-2-1-dep-right;waiting;5;33;2;-
BSAL_772_B-7-2-1-dep-right;BGB_722_B-7-2-1-arr-right;driving;19;19;2;-
BGB_722_B-7-2-1-dep-right;BWED_842_B-7-2-1-arr-right;driving;19;19;2;-
BWED_842_B-7-2-1-arr-right;BWED_842_B-7-2-1-dep-right;waiting;5;33;2;-
BWED_842_B-7-2-1-dep-right;BWH_832_B-7-2-1-arr-right;driving;20;20;2;-
BWH_832_B-7-2-1-arr-right;BWH_832_B-7-2-1-dep-right;waiting;5;33;2;-
BWH_832_B-7-2-1-dep-right;BBEU_812_B-7-2-1-arr-right;driving;14;14;2;-
BBEU_812_B-7-2-1-arr-right;BBEU_812_B-7-2-1-dep-right;waiting;5;33;2;-
BJUN_956_B-7-2-1-arr-right;BJUN_956_B-7-2-1-dep-right;waiting;5;33;2;-
BBEU_812_B-7-2-1-dep-right;BJUN_956_B-7-2-1-arr-right;driving;22;22;2;-
BJUN_956_B-7-2-1-dep-right;BWES_812_B-7-2-1-arr-right;driving;24;24;2;-
BJUN_956_B-7-2-1-dep-right;BWES_811_B-7-2-1-arr-left;driving;29;29;2;-
BWES_812_B-7-2-1-arr-right;BWES_812_B-7-2-1-dep-right;waiting;5;33;2;-
BWES_811_B-7-2-1-arr-left;BWES_811_B-7-2-1-dep-left;waiting;5;33;2;-
BWES_812_B-7-2-1-dep-right;BMN_802_B-7-2-1-arr-right;driving;15;15;2;-
BMN_802_B-7-2-1-arr-right;BMN_802_B-7-2-1-dep-right;waiting;5;33;2;-
BWES_811_B-7-2-1-dep-left;BMN_802_B-7-2-1-arr-right;driving;20;20;2;-
BMN_802_B-7-2-1-dep-right;BWKRR_802_B-7-2-1-arr-right;driving;12;12;2;-
BWKRR_802_B-7-2-1-arr-right;BWKRR_802_B-7-2-1-dep-right;waiting;5;33;2;-
BWKRR_802_B-7-2-1-dep-right;BHAL_711_B-7-2-1-arr-left;driving;16;16;2;-
BWKRR_802_B-7-2-1-dep-right;BHAL_712_B-7-2-1-arr-right;driving;11;11;2;-
BHAL_711_B-7-2-1-arr-left;BHAL_711_B-7-2-1-dep-left;waiting;5;33;2;-
BHAL_712_B-7-2-1-arr-right;BHAL_712_B-7-2-1-dep-right;waiting;5;33;2;-
BHAL_711_B-7-2-1-dep-left;BHO_702_B-7-2-1-arr-right;driving;19;19;2;-
BHO_702_B-7-2-1-arr-right;BHO_702_B-7-2-1-dep-right;waiting;5;50;2;-
BHAL_712_B-7-2-1-dep-right;BHO_702_B-7-2-1-arr-right;driving;14;14;2;-
BHO_702_B-7-2-1-dep-right;BHEI_632_B-7-2-1-arr-right;driving;16;16;2;-
BHEI_632_B-7-2-1-arr-right;BHEI_632_B-7-2-1-dep-right;waiting;5;50;2;-
BHEI_632_B-7-2-1-dep-right;BBUP_621_B-7-2-1-arr-left;driving;21;21;2;-
BBUP_621_B-7-2-1-arr-left;BBUP_621_B-7-2-1-dep-left;waiting;5;50;2;-
BBUP_621_B-7-2-1-dep-left;BIP_611_B-7-2-1-arr-left;driving;13;13;2;-
BIP_611_B-7-2-1-arr-left;BIP_611_B-7-2-1-dep-left;waiting;5;50;2;-
BHAL_711_B-379-1-21-dep-right;BWKRR_801_B-379-1-1-arr-right;driving;11;11;2;-
BWKRR_801_B-379-1-1-arr-right;BWKRR_801_B-379-1-1-dep-right;waiting;5;33;2;-
BWKRR_801_B-379-1-1-dep-right;BMN_801_B-379-1-1-arr-right;driving;12;12;2;-
BMN_801_B-379-1-1-arr-right;BMN_801_B-379-1-1-dep-right;waiting;5;33;2;-
BMN_801_B-379-1-1-dep-right;BWES_811_B-379-1-1-arr-right;driving;15;15;2;-
BWES_811_B-379-1-1-arr-right;BWES_811_B-379-1-1-dep-right;waiting;5;33;2;-
BJUN_955_B-379-1-1-arr-right;BJUN_955_B-379-1-1-dep-right;waiting;5;33;2;-
BWES_811_B-379-1-1-dep-right;BJUN_955_B-379-1-1-arr-right;driving;24;24;2;-
BJUN_955_B-379-1-1-dep-right;BBEU_811_B-379-1-1-arr-right;driving;21;21;2;-
BBEU_811_B-379-1-1-arr-right;BBEU_811_B-379-1-1-dep-right;waiting;5;33;2;-
BBEU_811_B-379-1-1-dep-right;BWH_831_B-379-1-1-arr-right;driving;14;14;2;-
BWH_831_B-379-1-1-arr-right;BWH_831_B-379-1-1-dep-right;waiting;5;33;2;-
BWH_831_B-379-1-1-dep-right;BWED_841_B-379-1-1-arr-right;driving;22;22;2;-
BWED_841_B-379-1-1-arr-right;BWED_841_B-379-1-1-dep-right;waiting;5;33;2;-
BGB_723_B-379-1-1-arr-right;BGB_723_B-379-1-1-dep-right;waiting;5;33;2;-
BWED_841_B-379-1-1-dep-right;BGB_723_B-379-1-1-arr-right;driving;19;19;2;-
BGB_723_B-379-1-1-dep-right;BSAL_771_B-379-1-1-arr-right;driving;19;19;2;-
