# number of nodes: 361
# number of edges: 467
# number of fixed handles: 13
# 
start,end,type,l,u,w
BOSB_11_B-48-1-1-dep-right,henkel_3_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-48-1-12,henkel-to,63,63,2
BOSB_11_B-48-1-1-dep-right,henkel_5_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-48-1-12,henkel-to,163,163,2
henkel_3_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-48-1-12,BOSB_8_B-48-1-2-arr-right,henkel-from,16,16,2
BOSB_8_B-48-1-2-arr-right,BOSB_8_B-48-1-2-dep-right,waiting,5,29,2
henkel_5_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-48-1-12,BOSB_8_B-48-1-2-arr-right,henkel-from,116,116,2
BWAB_362_B-48-2-21-dep-right,BHH_352_B-48-2-1-arr-right,driving,14,14,2
BHH_352_B-48-2-1-arr-right,BHH_352_B-48-2-1-dep-right,waiting,5,100,2
BWAB_361_B-48-2-21-dep-left,BHH_352_B-48-2-1-arr-right,driving,19,19,2
BHH_352_B-48-2-1-dep-right,BGSE_352_B-48-2-1-arr-right,driving,17,17,2
BGSE_352_B-48-2-1-arr-right,BGSE_352_B-48-2-1-dep-right,waiting,5,100,2
BGSE_352_B-48-2-1-dep-right,BSPH_312_B-48-2-1-arr-right,driving,32,32,2
BSPH_312_B-48-2-1-arr-right,BSPH_312_B-48-2-1-dep-right,waiting,5,50,2
BSPH_312_B-48-2-1-dep-right,BBKS_392_WA-48-2-1-arr-right,driving,17,17,2
BBKS_392_WA-48-2-1-arr-right,BBKS_392_WA-48-2-1-dep-right,waiting,0,0,2
BBKS_392_WA-48-2-1-dep-right,BFFO_702_B-48-2-1-arr-right,driving,9,9,2
BFFO_702_B-48-2-1-arr-right,BFFO_702_B-48-2-1-dep-right,waiting,5,50,2
BFFO_702_B-48-2-1-dep-right,BLI_691_B-48-2-1-arr-left,driving,24,24,2
BFFO_702_B-48-2-1-dep-right,BLI_692_B-48-2-1-arr-right,driving,19,19,2
BLI_691_B-48-2-1-arr-left,BLI_691_B-48-2-1-dep-left,waiting,5,40,2
BLI_692_B-48-2-1-arr-right,BLI_692_B-48-2-1-dep-right,waiting,5,40,2
BLI_691_B-48-2-1-dep-left,BNPL_682_B-48-2-1-arr-right,driving,20,20,2
BNPL_682_B-48-2-1-arr-right,BNPL_682_B-48-2-1-dep-right,waiting,5,40,2
BLI_692_B-48-2-1-dep-right,BNPL_682_B-48-2-1-arr-right,driving,15,15,2
BNPL_682_B-48-2-1-dep-right,BOKS_652_B-48-2-1-arr-left,driving,22,22,2
BNPL_682_B-48-2-1-dep-right,BOKS_654_B-48-2-1-arr-right,driving,17,17,2
BOKS_652_B-48-2-1-arr-left,BOKS_652_B-48-2-1-dep-left,waiting,5,29,2
BOKS_654_B-48-2-1-arr-right,BOKS_654_B-48-2-1-dep-right,waiting,5,29,2
BOKS_652_B-48-2-1-dep-left,BWRS_624_B-48-2-1-arr-right,driving,22,22,2
BOKS_652_B-48-2-1-dep-left,BWRS_622_B-48-2-1-arr-left,driving,17,17,2
BWRS_624_B-48-2-1-arr-right,BWRS_624_B-48-2-1-dep-right,waiting,5,25,2
BWRS_622_B-48-2-1-arr-left,BWRS_622_B-48-2-1-dep-left,waiting,5,25,2
BOKS_654_B-48-2-1-dep-right,BWRS_624_B-48-2-1-arr-right,driving,17,17,2
BWRS_624_B-48-2-1-dep-right,BOSB_11_B-48-2-1-arr-right,driving,17,17,2
BOSB_11_B-48-2-1-arr-right,BOSB_11_B-48-2-1-dep-right,waiting,5,29,2
BWRS_622_B-48-2-1-dep-left,BOSB_11_B-48-2-1-arr-right,driving,22,22,2
BWRS_623_B-48-2-2-arr-right,BWRS_623_B-48-2-2-dep-right,waiting,5,25,2
BWRS_621_B-48-2-2-arr-right,BWRS_621_B-48-2-2-dep-right,waiting,5,25,2
BOSB_8_B-48-2-2-dep-right,BWRS_623_B-48-2-2-arr-right,driving,17,17,2
BOSB_8_B-48-2-2-dep-right,BWRS_621_B-48-2-2-arr-right,driving,17,17,2
BWRS_623_B-48-2-2-dep-right,BOKS_651_B-48-2-2-arr-right,driving,17,17,2
BWRS_623_B-48-2-2-dep-right,BOKS_653_B-48-2-2-arr-right,driving,17,17,2
BOKS_651_B-48-2-2-arr-right,BOKS_651_B-48-2-2-dep-right,waiting,5,29,2
BOKS_653_B-48-2-2-arr-right,BOKS_653_B-48-2-2-dep-right,waiting,5,29,2
BWRS_621_B-48-2-2-dep-right,BOKS_651_B-48-2-2-arr-right,driving,17,17,2
BWRS_621_B-48-2-2-dep-right,BOKS_653_B-48-2-2-arr-right,driving,17,17,2
BOKS_651_B-48-2-2-dep-right,BNPL_681_B-48-2-2-arr-right,driving,15,15,2
BNPL_681_B-48-2-2-arr-right,BNPL_681_B-48-2-2-dep-right,waiting,5,40,2
BOKS_653_B-48-2-2-dep-right,BNPL_681_B-48-2-2-arr-right,driving,15,15,2
BNPL_681_B-48-2-2-dep-right,BLI_691_B-48-2-2-arr-right,driving,15,15,2
BNPL_681_B-48-2-2-dep-right,BLI_692_B-48-2-2-arr-left,driving,20,20,2
BLI_691_B-48-2-2-arr-right,BLI_691_B-48-2-2-dep-right,waiting,5,40,2
BLI_692_B-48-2-2-arr-left,BLI_692_B-48-2-2-dep-left,waiting,5,40,2
BLI_691_B-48-2-2-dep-right,BFFO_701_B-48-2-2-arr-right,driving,19,19,2
BFFO_701_B-48-2-2-arr-right,BFFO_701_B-48-2-2-dep-right,waiting,5,50,2
BLI_692_B-48-2-2-dep-left,BFFO_701_B-48-2-2-arr-right,driving,24,24,2
BFFO_701_B-48-2-2-dep-right,BBKS_391_WA-48-2-2-arr-right,driving,8,8,2
BBKS_391_WA-48-2-2-arr-right,BBKS_391_WA-48-2-2-dep-right,waiting,0,0,2
BBKS_391_WA-48-2-2-dep-right,BSPH_311_B-48-2-2-arr-right,driving,18,18,2
BSPH_311_B-48-2-2-arr-right,BSPH_311_B-48-2-2-dep-right,waiting,5,50,2
BSPH_311_B-48-2-2-dep-right,BGSE_351_B-48-2-2-arr-right,driving,32,32,2
BGSE_351_B-48-2-2-arr-right,BGSE_351_B-48-2-2-dep-right,waiting,5,100,2
BGSE_351_B-48-2-2-dep-right,BHH_351_B-48-2-2-arr-right,driving,17,17,2
BHH_351_B-48-2-2-arr-right,BHH_351_B-48-2-2-dep-right,waiting,5,100,2
BHH_351_B-48-2-2-dep-right,BWAB_362_B-48-2-21-arr-left,driving,25,25,2
BHH_351_B-48-2-2-dep-right,BWAB_361_B-48-2-21-arr-right,driving,20,20,2
BWAB_362_B-48-2-21-arr-left,BWAB_362_B-48-2-21-dep-right,turn,20,180,1
BWAB_361_B-48-2-21-arr-right,BWAB_361_B-48-2-21-dep-left,turn,20,180,1
BOSB_11_B-48-2-1-dep-right,henkel_3_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-48-2-12,henkel-to,63,63,2
BOSB_11_B-48-2-1-dep-right,henkel_5_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-48-2-12,henkel-to,163,163,2
henkel_3_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-48-2-12,BOSB_8_B-48-2-2-arr-right,henkel-from,16,16,2
BOSB_8_B-48-2-2-arr-right,BOSB_8_B-48-2-2-dep-right,waiting,5,29,2
henkel_5_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-48-2-12,BOSB_8_B-48-2-2-arr-right,henkel-from,116,116,2
BLI_691_B-18-1-21-dep-left,BNPL_682_B-18-1-1-arr-right,driving,20,20,2
BLI_691_B-18-1-21-dep-left,BLI_683_A-18-1-21-arr-left,driving,15.0,15.0,1
BNPL_682_B-18-1-1-arr-right,BNPL_682_B-18-1-1-dep-right,waiting,5,40,2
BLI_692_B-18-1-21-dep-right,BNPL_682_B-18-1-1-arr-right,driving,15,15,2
BLI_692_B-18-1-21-dep-right,BLI_683_A-18-1-21-arr-left,driving,15.0,15.0,1
BNPL_682_B-18-1-1-dep-right,BOKS_652_B-18-1-1-arr-left,driving,22,22,2
BNPL_682_B-18-1-1-dep-right,BOKS_654_B-18-1-1-arr-right,driving,17,17,2
BOKS_652_B-18-1-1-arr-left,BOKS_652_B-18-1-1-dep-left,waiting,5,29,2
BOKS_654_B-18-1-1-arr-right,BOKS_654_B-18-1-1-dep-right,waiting,5,29,2
BOKS_652_B-18-1-1-dep-left,BWRS_623_B-18-1-12-arr-left,driving,17,17,2
BOKS_652_B-18-1-1-dep-left,BWRS_624_B-18-1-12-arr-right,driving,22,22,2
BOKS_652_B-18-1-1-dep-left,BWRS_622_B-18-1-12-arr-left,driving,17,17,2
BOKS_652_B-18-1-1-dep-left,BWRS_621_B-18-1-12-arr-left,driving,17,17,2
BWRS_623_B-18-1-12-arr-left,BWRS_623_B-18-1-12-dep-right,turn,20,180,1
BWRS_624_B-18-1-12-arr-right,BWRS_624_B-18-1-12-dep-left,turn,20,180,1
BWRS_622_B-18-1-12-arr-left,BWRS_622_B-18-1-12-dep-left,waiting,5,25,1
BWRS_622_B-18-1-12-arr-left,BWRS_622_B-18-1-12-dep-right,turn,20,180,1
BWRS_621_B-18-1-12-arr-left,BWRS_621_B-18-1-12-dep-left,waiting,5,25,1
BWRS_621_B-18-1-12-arr-left,BWRS_621_B-18-1-12-dep-right,turn,20,180,1
BOKS_654_B-18-1-1-dep-right,BWRS_624_B-18-1-12-arr-right,driving,17,17,2
BWRS_623_B-18-1-12-dep-right,BOKS_651_B-18-1-2-arr-right,driving,17,17,2
BWRS_623_B-18-1-12-dep-right,BOKS_653_B-18-1-2-arr-right,driving,17,17,2
BOKS_651_B-18-1-2-arr-right,BOKS_651_B-18-1-2-dep-right,waiting,5,29,2
BOKS_653_B-18-1-2-arr-right,BOKS_653_B-18-1-2-dep-right,waiting,5,29,2
BWRS_624_B-18-1-12-dep-left,BOKS_651_B-18-1-2-arr-right,driving,22,22,2
BWRS_624_B-18-1-12-dep-left,BOKS_653_B-18-1-2-arr-right,driving,22,22,2
BWRS_622_B-18-1-12-dep-right,BOKS_651_B-18-1-2-arr-right,driving,17,17,2
BWRS_622_B-18-1-12-dep-right,BOKS_653_B-18-1-2-arr-right,driving,17,17,2
BWRS_621_B-18-1-12-dep-right,BOKS_651_B-18-1-2-arr-right,driving,17,17,2
BWRS_621_B-18-1-12-dep-right,BOKS_653_B-18-1-2-arr-right,driving,17,17,2
BOKS_651_B-18-1-2-dep-right,BNPL_681_B-18-1-2-arr-right,driving,15,15,2
BNPL_681_B-18-1-2-arr-right,BNPL_681_B-18-1-2-dep-right,waiting,5,40,2
BOKS_653_B-18-1-2-dep-right,BNPL_681_B-18-1-2-arr-right,driving,15,15,2
BNPL_681_B-18-1-2-dep-right,BLI_691_B-18-1-21-arr-right,driving,15,15,2
BNPL_681_B-18-1-2-dep-right,BLI_692_B-18-1-21-arr-left,driving,20,20,2
BLI_691_B-18-1-21-arr-right,BLI_691_B-18-1-21-dep-right,waiting,5,40,1
BLI_691_B-18-1-21-arr-right,BLI_691_B-18-1-21-dep-left,turn,20,180,1
BLI_692_B-18-1-21-arr-left,BLI_692_B-18-1-21-dep-left,waiting,5,40,1
BLI_692_B-18-1-21-arr-left,BLI_692_B-18-1-21-dep-right,turn,20,180,1
BLI_683_A-18-1-21-arr-left,BLI_683_A-18-1-21-dep-right,turn,20,180,1
BLI_683_A-18-1-21-dep-right,BLI_691_B-18-1-21-arr-right,driving,15.0,15.0,1
BLI_683_A-18-1-21-dep-right,BLI_692_B-18-1-21-arr-left,driving,15.0,15.0,1
BLI_691_B-18-1-21-dep-right,BLI_23_A-18-1-21-arr-right,driving,19.0,19.0,1
BLI_691_B-18-1-21-dep-right,BLI_24_A-18-1-21-arr-right,driving,19.0,19.0,1
BLI_23_A-18-1-21-arr-right,BLI_23_A-18-1-21-dep-left,turn,20,180,1
BLI_23_A-18-1-21-arr-right,BLI_23_A-18-1-21-dep-right,waiting,0,175,1
BLI_23_A-18-1-21-dep-left,BLI_691_B-18-1-21-arr-left,driving,19.0,19.0,1
BLI_23_A-18-1-21-dep-left,BLI_692_B-18-1-21-arr-right,driving,19.0,19.0,1
BLI_691_B-18-1-21-arr-left,BLI_691_B-18-1-21-dep-left,waiting,5,40,1
BLI_691_B-18-1-21-arr-left,BLI_691_B-18-1-21-dep-right,turn,20,180,1
BLI_692_B-18-1-21-arr-right,BLI_692_B-18-1-21-dep-right,waiting,5,40,1
BLI_692_B-18-1-21-arr-right,BLI_692_B-18-1-21-dep-left,turn,20,180,1
BLI_23_A-18-1-21-dep-right,BLI_25_A-18-1-21-arr-right,driving,21.0,21.0,1
BLI_25_A-18-1-21-arr-right,BLI_25_A-18-1-21-dep-left,turn,20,180,1
BLI_25_A-18-1-21-dep-left,BLI_23_A-18-1-21-arr-left,driving,21.0,21.0,1
BLI_25_A-18-1-21-dep-left,BLI_24_A-18-1-21-arr-left,driving,21.0,21.0,1
BLI_23_A-18-1-21-arr-left,BLI_23_A-18-1-21-dep-left,waiting,0,175,1
BLI_24_A-18-1-21-arr-left,BLI_24_A-18-1-21-dep-left,waiting,0,175,1
BLI_24_A-18-1-21-dep-left,BLI_691_B-18-1-21-arr-left,driving,19.0,19.0,1
BLI_24_A-18-1-21-dep-left,BLI_692_B-18-1-21-arr-right,driving,19.0,19.0,1
BLI_24_A-18-1-21-arr-right,BLI_24_A-18-1-21-dep-left,turn,20,180,1
BLI_24_A-18-1-21-arr-right,BLI_24_A-18-1-21-dep-right,waiting,0,175,1
BLI_24_A-18-1-21-dep-right,BLI_25_A-18-1-21-arr-right,driving,21.0,21.0,1
BLI_24_A-18-1-21-dep-right,BLI_26_A-18-1-21-arr-right,driving,21.0,21.0,1
BLI_24_A-18-1-21-dep-right,BLI_9_A-18-1-21-arr-right,driving,21.0,21.0,1
BLI_26_A-18-1-21-arr-right,BLI_26_A-18-1-21-dep-left,turn,20,180,1
BLI_26_A-18-1-21-dep-left,BLI_24_A-18-1-21-arr-left,driving,21.0,21.0,1
BLI_9_A-18-1-21-arr-right,BLI_9_A-18-1-21-dep-left,turn,20,180,1
BLI_9_A-18-1-21-arr-right,BLI_9_A-18-1-21-dep-right,waiting,0,175,1
BLI_9_A-18-1-21-dep-left,BLI_24_A-18-1-21-arr-left,driving,21.0,21.0,1
BLI_9_A-18-1-21-dep-right,BLI_35_A-18-1-21-arr-right,driving,0,0,1
BLI_35_A-18-1-21-arr-right,BLI_35_A-18-1-21-dep-left,turn,20,180,1
BLI_35_A-18-1-21-dep-left,BLI_9_A-18-1-21-arr-left,driving,16.0,16.0,1
BLI_9_A-18-1-21-arr-left,BLI_9_A-18-1-21-dep-left,waiting,0,175,1
BLI_692_B-18-1-21-dep-left,BLI_23_A-18-1-21-arr-right,driving,19.0,19.0,1
BLI_692_B-18-1-21-dep-left,BLI_24_A-18-1-21-arr-right,driving,19.0,19.0,1
BWRS_621_B-18-1-12-dep-left,BWRS_611_A-18-1-12-arr-left,driving,15.0,15.0,1
BWRS_611_A-18-1-12-arr-left,BWRS_611_A-18-1-12-dep-right,turn,20,180,1
BWRS_611_A-18-1-12-dep-right,BWRS_621_B-18-1-12-arr-right,driving,15.0,15.0,1
BWRS_611_A-18-1-12-dep-right,BWRS_622_B-18-1-12-arr-right,driving,15.0,15.0,1
BWRS_621_B-18-1-12-arr-right,BWRS_621_B-18-1-12-dep-right,waiting,5,25,1
BWRS_622_B-18-1-12-arr-right,BWRS_622_B-18-1-12-dep-right,waiting,5,25,1
BWRS_622_B-18-1-12-dep-left,BWRS_611_A-18-1-12-arr-left,driving,15.0,15.0,1
BSPH_312_B-45-1-1-dep-right,BBKS_392_WA-45-1-1-arr-right,driving,17,17,2
BBKS_392_WA-45-1-1-arr-right,BBKS_392_WA-45-1-1-dep-right,waiting,0,0,2
BBKS_392_WA-45-1-1-dep-right,BFFO_702_B-45-1-1-arr-right,driving,9,9,2
BFFO_702_B-45-1-1-arr-right,BFFO_702_B-45-1-1-dep-right,waiting,5,50,2
BFFO_702_B-45-1-1-dep-right,BLI_691_B-45-1-1-arr-left,driving,24,24,2
BFFO_702_B-45-1-1-dep-right,BLI_692_B-45-1-1-arr-right,driving,19,19,2
BLI_691_B-45-1-1-arr-left,BLI_691_B-45-1-1-dep-left,waiting,5,40,2
BLI_692_B-45-1-1-arr-right,BLI_692_B-45-1-1-dep-right,waiting,5,40,2
BLI_691_B-45-1-1-dep-left,BNPL_682_B-45-1-1-arr-right,driving,20,20,2
BNPL_682_B-45-1-1-arr-right,BNPL_682_B-45-1-1-dep-right,waiting,5,40,2
BLI_692_B-45-1-1-dep-right,BNPL_682_B-45-1-1-arr-right,driving,15,15,2
BNPL_682_B-45-1-1-dep-right,BOKS_652_B-45-1-1-arr-left,driving,22,22,2
BNPL_682_B-45-1-1-dep-right,BOKS_654_B-45-1-1-arr-right,driving,17,17,2
BOKS_652_B-45-1-1-arr-left,BOKS_652_B-45-1-1-dep-left,waiting,5,29,2
BOKS_654_B-45-1-1-arr-right,BOKS_654_B-45-1-1-dep-right,waiting,5,29,2
BOKS_652_B-45-1-1-dep-left,BWRS_624_B-45-1-1-arr-right,driving,22,22,2
BOKS_652_B-45-1-1-dep-left,BWRS_622_B-45-1-1-arr-left,driving,17,17,2
BWRS_624_B-45-1-1-arr-right,BWRS_624_B-45-1-1-dep-right,waiting,5,25,2
BWRS_622_B-45-1-1-arr-left,BWRS_622_B-45-1-1-dep-left,waiting,5,25,2
BOKS_654_B-45-1-1-dep-right,BWRS_624_B-45-1-1-arr-right,driving,17,17,2
BWRS_624_B-45-1-1-dep-right,BOSB_11_B-45-1-1-arr-right,driving,17,17,2
BOSB_11_B-45-1-1-arr-right,BOSB_11_B-45-1-1-dep-right,waiting,5,29,2
BWRS_622_B-45-1-1-dep-left,BOSB_11_B-45-1-1-arr-right,driving,22,22,2
BWRS_623_B-45-1-2-arr-right,BWRS_623_B-45-1-2-dep-right,waiting,5,25,2
BWRS_621_B-45-1-2-arr-right,BWRS_621_B-45-1-2-dep-right,waiting,5,25,2
BOSB_8_B-45-1-2-dep-right,BWRS_623_B-45-1-2-arr-right,driving,17,17,2
BOSB_8_B-45-1-2-dep-right,BWRS_621_B-45-1-2-arr-right,driving,17,17,2
BWRS_623_B-45-1-2-dep-right,BOKS_651_B-45-1-2-arr-right,driving,17,17,2
BWRS_623_B-45-1-2-dep-right,BOKS_653_B-45-1-2-arr-right,driving,17,17,2
BOKS_651_B-45-1-2-arr-right,BOKS_651_B-45-1-2-dep-right,waiting,5,29,2
