# number of nodes: 835
# number of edges: 950
# number of fixed handles: 16
# 
start,end,type,l,u,w
BNB_412_B-55-2-12-dep-left,BORS_431_B-55-2-2-arr-right,driving,20,20,2
BORS_431_B-55-2-2-arr-right,BORS_431_B-55-2-2-dep-right,waiting,5,50,2
BORS_431_B-55-2-2-dep-right,BFSTT_431_B-55-2-2-arr-right,driving,13,13,2
BFSTT_431_B-55-2-2-arr-right,BFSTT_431_B-55-2-2-dep-right,waiting,5,50,2
BFSTT_431_B-55-2-2-dep-right,BTOR_441_B-55-2-2-arr-right,driving,12,12,2
BTOR_441_B-55-2-2-arr-right,BTOR_441_B-55-2-2-dep-right,waiting,5,50,2
BTOR_441_B-55-2-2-dep-right,BPOP_452_B-55-2-2-arr-left,driving,20,20,2
BTOR_441_B-55-2-2-dep-right,BPOP_451_B-55-2-2-arr-right,driving,15,15,2
BPOP_452_B-55-2-2-arr-left,BPOP_452_B-55-2-2-dep-left,waiting,5,33,2
BPOP_451_B-55-2-2-arr-right,BPOP_451_B-55-2-2-dep-right,waiting,5,33,2
BPOP_452_B-55-2-2-dep-left,BAHU_472_B-55-2-2-arr-right,driving,21,21,2
BAHU_472_B-55-2-2-arr-right,BAHU_472_B-55-2-2-dep-right,waiting,5,33,2
BPOP_451_B-55-2-2-dep-right,BAHU_472_B-55-2-2-arr-right,driving,16,16,2
BNB_415_A-55-2-12-arr-left,BNB_415_A-55-2-12-dep-right,turn,20,180,1
BNB_415_A-55-2-12-dep-right,BNB_412_B-55-2-12-arr-right,driving,10.0,10.0,1
BNB_412_B-55-2-12-arr-right,BNB_412_B-55-2-12-dep-right,waiting,5,50,1
BNB_412_B-55-2-12-arr-right,BNB_412_B-55-2-12-dep-left,turn,20,180,1
BNB_412_B-55-2-12-dep-right,BNB_416_A-55-2-12-arr-right,driving,9.0,9.0,1
BNB_412_B-55-2-12-dep-right,BNB_417_A-55-2-12-arr-right,driving,9.0,9.0,1
BNB_416_A-55-2-12-arr-right,BNB_416_A-55-2-12-dep-left,turn,20,180,1
BNB_416_A-55-2-12-arr-right,BNB_416_A-55-2-12-dep-right,waiting,0,175,1
BNB_416_A-55-2-12-dep-left,BNB_412_B-55-2-12-arr-left,driving,9.0,9.0,1
BNB_416_A-55-2-12-dep-left,BNB_413_B-55-2-12-arr-left,driving,9.0,9.0,1
BNB_412_B-55-2-12-arr-left,BNB_412_B-55-2-12-dep-left,waiting,5,50,1
BNB_412_B-55-2-12-arr-left,BNB_412_B-55-2-12-dep-right,turn,20,180,1
BNB_413_B-55-2-12-arr-left,BNB_413_B-55-2-12-dep-left,waiting,5,50,1
BNB_413_B-55-2-12-arr-left,BNB_413_B-55-2-12-dep-right,turn,20,180,1
BNB_416_A-55-2-12-dep-right,BNB_418_A-55-2-12-arr-right,driving,0,0,1
BNB_418_A-55-2-12-arr-right,BNB_418_A-55-2-12-dep-left,turn,20,180,1
BNB_418_A-55-2-12-dep-left,BNB_416_A-55-2-12-arr-left,driving,0,0,1
BNB_418_A-55-2-12-dep-left,BNB_417_A-55-2-12-arr-left,driving,0,0,1
BNB_416_A-55-2-12-arr-left,BNB_416_A-55-2-12-dep-left,waiting,0,175,1
BNB_417_A-55-2-12-arr-left,BNB_417_A-55-2-12-dep-left,waiting,0,175,1
BNB_417_A-55-2-12-dep-left,BNB_412_B-55-2-12-arr-left,driving,9.0,9.0,1
BNB_417_A-55-2-12-dep-left,BNB_413_B-55-2-12-arr-left,driving,9.0,9.0,1
BNB_417_A-55-2-12-arr-right,BNB_417_A-55-2-12-dep-left,turn,20,180,1
BNB_417_A-55-2-12-arr-right,BNB_417_A-55-2-12-dep-right,waiting,0,175,1
BNB_417_A-55-2-12-dep-right,BNB_418_A-55-2-12-arr-right,driving,0,0,1
BNB_413_B-55-2-12-dep-left,BNB_415_A-55-2-12-arr-left,driving,10.0,10.0,1
BNB_413_B-55-2-12-dep-right,BNB_416_A-55-2-12-arr-right,driving,9.0,9.0,1
BNB_413_B-55-2-12-dep-right,BNB_417_A-55-2-12-arr-right,driving,9.0,9.0,1
BAHU_472_B-55-2-2-dep-right,henkel_4_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-55-2-21,henkel-to,155,155,2
BAHU_472_B-55-2-2-dep-right,henkel_4_S2_WI_BBU_BLRD_0_S2_WI_BLRD_BBU_0-55-2-21,henkel-to,55,55,2
henkel_4_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-55-2-21,BAHU_474_B-55-2-1-arr-right,henkel-from,117,117,2
BAHU_474_B-55-2-1-arr-right,BAHU_474_B-55-2-1-dep-right,waiting,5,33,2
henkel_4_S2_WI_BBU_BLRD_0_S2_WI_BLRD_BBU_0-55-2-21,BAHU_474_B-55-2-1-arr-right,henkel-from,17,17,2
BBU_112_B-140-1-1-dep-right,BKRW_101_B-140-1-1-arr-left,driving,33,33,2
BBU_112_B-140-1-1-dep-right,BKRW_102_B-140-1-1-arr-right,driving,28,28,2
BKRW_101_B-140-1-1-arr-left,BKRW_101_B-140-1-1-dep-left,waiting,5,100,2
BKRW_102_B-140-1-1-arr-right,BKRW_102_B-140-1-1-dep-right,waiting,5,100,2
BKRW_101_B-140-1-1-dep-left,BBLB_1_B-140-1-12-arr-right,driving,36,36,2
BKRW_101_B-140-1-1-dep-left,BBLB_4_B-140-1-12-arr-left,driving,31,31,2
BBLB_1_B-140-1-12-arr-right,BBLB_1_B-140-1-12-dep-left,turn,20,180,1
BBLB_4_B-140-1-12-arr-left,BBLB_4_B-140-1-12-dep-right,turn,20,180,1
BKRW_102_B-140-1-1-dep-right,BBLB_1_B-140-1-12-arr-right,driving,31,31,2
BKRW_102_B-140-1-1-dep-right,BBLB_4_B-140-1-12-arr-left,driving,36,36,2
BBLB_4_B-140-1-12-dep-right,BKRW_101_B-140-1-2-arr-right,driving,33,33,2
BBLB_4_B-140-1-12-dep-right,BKRW_102_B-140-1-2-arr-left,driving,38,38,2
BKRW_101_B-140-1-2-arr-right,BKRW_101_B-140-1-2-dep-right,waiting,5,100,2
BKRW_102_B-140-1-2-arr-left,BKRW_102_B-140-1-2-dep-left,waiting,5,100,2
BKRW_101_B-140-1-2-dep-right,BBU_111_B-140-1-2-arr-right,driving,28,28,2
BBU_111_B-140-1-2-arr-right,BBU_111_B-140-1-2-dep-right,waiting,5,100,2
BKRW_102_B-140-1-2-dep-left,BBU_111_B-140-1-2-arr-right,driving,33,33,2
BBLB_1_B-140-1-12-dep-left,BBLB_3_A-140-1-12-arr-right,driving,15.0,15.0,1
BBLB_3_A-140-1-12-arr-right,BBLB_3_A-140-1-12-dep-left,turn,20,180,1
