# number of nodes: 254
# number of edges: 292
# number of fixed handles: 9
# 
start;end;type;l;u;w;in_regelrichtung
BKRW_101_B-46-1-12-dep-right;BBU_111_B-46-1-2-arr-right;driving;28;28;2;-
BBU_111_B-46-1-2-dep-right;henkel_3_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-46-1-21;henkel-to;165;165;2;-
henkel_3_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-46-1-21;BBU_112_B-46-1-1-arr-right;henkel-from;134;134;2;-
BBU_112_B-46-1-1-arr-right;BBU_112_B-46-1-1-dep-right;waiting;5;100;2;-
BPKW_642_B-33-1-21-dep-right;BBOS_612_B-33-1-1-arr-right;driving;18;18;2;-
BBOS_612_B-33-1-1-arr-right;BBOS_612_B-33-1-1-dep-right;waiting;5;25;2;-
BPKW_641_B-33-1-21-dep-left;BBOS_612_B-33-1-1-arr-right;driving;23;23;2;-
BBOS_613_B-33-1-2-dep-right;BPKW_642_B-33-1-21-arr-left;driving;23;23;2;-
BBOS_613_B-33-1-2-dep-right;BPKW_641_B-33-1-21-arr-right;driving;18;18;2;-
BPKW_642_B-33-1-21-arr-left;BPKW_642_B-33-1-21-dep-right;turn;20;180;1;-
BPKW_641_B-33-1-21-arr-right;BPKW_641_B-33-1-21-dep-left;turn;20;180;1;-
BBOS_612_B-33-1-1-dep-right;henkel_7_S8_N_BBIW_BZTH_0_S8_N_BZTH_BBIW_0-33-1-12;henkel-to;66;66;2;-
henkel_7_S8_N_BBIW_BZTH_0_S8_N_BZTH_BBIW_0-33-1-12;BBOS_613_B-33-1-2-arr-right;henkel-from;32;32;2;-
BBOS_613_B-33-1-2-arr-right;BBOS_613_B-33-1-2-dep-right;waiting;5;25;2;-
BBIW_6_B-10-1-21-dep-right;BHN_4_B-10-1-1-arr-right;driving;25;25;2;-
BHN_4_B-10-1-1-arr-right;BHN_4_B-10-1-1-dep-right;waiting;5;67;2;-
BHN_4_B-10-1-1-dep-right;BBFE_1_B-10-1-1-arr-right;driving;32;32;2;-
BBFE_1_B-10-1-1-arr-right;BBFE_1_B-10-1-1-dep-right;waiting;5;100;2;-
BBFE_1_B-10-1-1-dep-right;BSNF_6_B-10-1-12-arr-left;driving;23;23;2;-
BSNF_6_B-10-1-12-arr-left;BSNF_6_B-10-1-12-dep-right;turn;20;180;1;-
BSNF_6_B-10-1-12-dep-right;BBFE_2_B-10-1-2-arr-right;driving;18;18;2;-
BBFE_2_B-10-1-2-arr-right;BBFE_2_B-10-1-2-dep-right;waiting;5;100;2;-
BBFE_2_B-10-1-2-dep-right;BHN_3_B-10-1-2-arr-right;driving;32;32;2;-
BHN_3_B-10-1-2-arr-right;BHN_3_B-10-1-2-dep-right;waiting;5;67;2;-
BBIW_6_B-10-1-21-arr-left;BBIW_6_B-10-1-21-dep-left;waiting;5;67;1;-
BBIW_6_B-10-1-21-arr-left;BBIW_6_B-10-1-21-dep-right;turn;20;180;1;-
BBIW_4_B-10-1-21-arr-right;BBIW_4_B-10-1-21-dep-right;waiting;5;67;1;-
BHN_3_B-10-1-2-dep-right;BBIW_6_B-10-1-21-arr-left;driving;30;30;2;-
BHN_3_B-10-1-2-dep-right;BBIW_4_B-10-1-21-arr-right;driving;25;25;2;-
BBIW_4_B-10-1-21-dep-right;BBIW_14_A-10-1-21-arr-right;driving;17;17;1;-
BBIW_14_A-10-1-21-arr-right;BBIW_14_A-10-1-21-dep-left;turn;20;180;1;-
BBIW_14_A-10-1-21-dep-left;BBIW_6_B-10-1-21-arr-right;driving;17;17;1;-
BBIW_6_B-10-1-21-arr-right;BBIW_6_B-10-1-21-dep-right;waiting;5;67;1;-
BBIW_6_B-10-1-21-dep-left;BBIW_14_A-10-1-21-arr-right;driving;17;17;1;-
BBOS_613_B-34-1-1-dep-right;BPKW_642_B-34-1-12-arr-left;driving;23;23;2;-
BBOS_613_B-34-1-1-dep-right;BPKW_641_B-34-1-12-arr-right;driving;18;18;2;-
BPKW_642_B-34-1-12-arr-left;BPKW_642_B-34-1-12-dep-right;turn;20;180;1;-
BPKW_641_B-34-1-12-arr-right;BPKW_641_B-34-1-12-dep-left;turn;20;180;1;-
BPKW_642_B-34-1-12-dep-right;BBOS_612_B-34-1-2-arr-right;driving;18;18;2;-
BBOS_612_B-34-1-2-arr-right;BBOS_612_B-34-1-2-dep-right;waiting;5;25;2;-
BPKW_641_B-34-1-12-dep-left;BBOS_612_B-34-1-2-arr-right;driving;23;23;2;-
BBOS_612_B-34-1-2-dep-right;henkel_8_S85_NI_BGAS_BPKW_0_S85_NI_BPKW_BGAS_0-34-1-21;henkel-to;166;166;2;-
henkel_8_S85_NI_BGAS_BPKW_0_S85_NI_BPKW_BGAS_0-34-1-21;BBOS_613_B-34-1-1-arr-right;henkel-from;132;132;2;-
BBOS_613_B-34-1-1-arr-right;BBOS_613_B-34-1-1-dep-right;waiting;5;25;2;-
BORB_32_B-24-1-21-dep-right;BLEN_102_B-24-1-1-arr-right;driving;21;21;2;-
BLEN_102_B-24-1-1-arr-right;BLEN_102_B-24-1-1-dep-right;waiting;5;100;2;-
BORB_30_B-24-1-21-dep-left;BLEN_102_B-24-1-1-arr-right;driving;26;26;2;-
BLEN_102_B-24-1-1-dep-right;BBOR_4_B-24-1-1-arr-right;driving;29;29;2;-
BBOR_4_B-24-1-1-arr-right;BBOR_4_B-24-1-1-dep-right;waiting;5;100;2;-
BBOR_4_B-24-1-1-dep-right;BBIW_6_B-24-1-1-arr-right;driving;29;29;2;-
BBIW_6_B-24-1-1-arr-right;BBIW_6_B-24-1-1-dep-right;waiting;5;67;2;-
BBIW_6_B-24-1-1-dep-right;BHN_4_B-24-1-1-arr-right;driving;25;25;2;-
BBIW_6_B-24-1-1-dep-right;BHN_3_B-24-1-1-arr-left;driving;30;30;2;-
BHN_4_B-24-1-1-arr-right;BHN_4_B-24-1-1-dep-right;waiting;5;67;2;-
BHN_3_B-24-1-1-arr-left;BHN_3_B-24-1-1-dep-left;waiting;5;67;2;-
BHN_4_B-24-1-1-dep-right;BFOH_132_B-24-1-1-arr-right;driving;42;42;2;-
BHN_4_B-24-1-1-dep-right;BFOH_131_B-24-1-1-arr-left;driving;47;47;2;-
BFOH_132_B-24-1-1-arr-right;BFOH_132_B-24-1-1-dep-right;waiting;5;67;2;-
BFOH_131_B-24-1-1-arr-left;BFOH_131_B-24-1-1-dep-left;waiting;5;67;2;-
BHN_3_B-24-1-1-dep-left;BFOH_132_B-24-1-1-arr-right;driving;47;47;2;-
BHN_3_B-24-1-1-dep-left;BFOH_131_B-24-1-1-arr-left;driving;42;42;2;-
BFOH_132_B-24-1-1-dep-right;BHED_132_B-24-1-1-arr-right;driving;22;22;2;-
BHED_132_B-24-1-1-arr-right;BHED_132_B-24-1-1-dep-right;waiting;5;67;2;-
BFOH_131_B-24-1-1-dep-left;BHED_132_B-24-1-1-arr-right;driving;27;27;2;-
BHED_132_B-24-1-1-dep-right;BWAI_122_B-24-1-1-arr-right;driving;19;19;2;-
BWAI_122_B-24-1-1-arr-right;BWAI_122_B-24-1-1-dep-right;waiting;5;67;2;-
BWAI_122_B-24-1-1-dep-right;BWIN_112_B-24-1-1-arr-right;driving;18;18;2;-
BWIN_112_B-24-1-1-arr-right;BWIN_112_B-24-1-1-dep-right;waiting;5;67;2;-
BWIN_112_B-24-1-1-dep-right;BWM_102_B-24-1-1-arr-right;driving;26;26;2;-
BWM_102_B-24-1-1-arr-right;BWM_102_B-24-1-1-dep-right;waiting;5;67;2;-
BWM_102_B-24-1-1-dep-right;BSNH_684_B-24-1-1-arr-right;driving;21;21;2;-
BSNH_684_B-24-1-1-arr-right;BSNH_684_B-24-1-1-dep-right;waiting;5;50;2;-
BSNH_684_B-24-1-1-dep-right;BWOK_654_B-24-1-1-arr-right;driving;13;13;2;-
BWOK_654_B-24-1-1-arr-right;BWOK_654_B-24-1-1-dep-right;waiting;5;50;2;-
BWOK_654_B-24-1-1-dep-right;BBOS_611_B-24-1-1-arr-right;driving;16;16;2;-
BBOS_611_B-24-1-1-arr-right;BBOS_611_B-24-1-1-dep-right;waiting;5;25;2;-
BBOS_614_B-24-1-2-dep-right;BWOK_653_B-24-1-2-arr-right;driving;16;16;2;-
BWOK_653_B-24-1-2-arr-right;BWOK_653_B-24-1-2-dep-right;waiting;5;50;2;-
BSNH_683_B-24-1-2-arr-right;BSNH_683_B-24-1-2-dep-right;waiting;5;50;2;-
BWOK_653_B-24-1-2-dep-right;BSNH_683_B-24-1-2-arr-right;driving;13;13;2;-
BSNH_683_B-24-1-2-dep-right;BWM_101_B-24-1-2-arr-right;driving;21;21;2;-
BWM_101_B-24-1-2-arr-right;BWM_101_B-24-1-2-dep-right;waiting;5;67;2;-
BWM_101_B-24-1-2-dep-right;BWIN_111_B-24-1-2-arr-right;driving;26;26;2;-
BWIN_111_B-24-1-2-arr-right;BWIN_111_B-24-1-2-dep-right;waiting;5;67;2;-
BWIN_111_B-24-1-2-dep-right;BWAI_122_B-24-1-2-arr-left;driving;23;23;2;-
BWIN_111_B-24-1-2-dep-right;BWAI_121_B-24-1-2-arr-right;driving;18;18;2;-
BWAI_122_B-24-1-2-arr-left;BWAI_122_B-24-1-2-dep-left;waiting;5;67;2;-
BWAI_121_B-24-1-2-arr-right;BWAI_121_B-24-1-2-dep-right;waiting;5;67;2;-
BWAI_122_B-24-1-2-dep-left;BHED_131_B-24-1-2-arr-right;driving;23;23;2;-
BHED_131_B-24-1-2-arr-right;BHED_131_B-24-1-2-dep-right;waiting;5;67;2;-
BWAI_121_B-24-1-2-dep-right;BHED_131_B-24-1-2-arr-right;driving;18;18;2;-
BHED_131_B-24-1-2-dep-right;BFOH_132_B-24-1-2-arr-left;driving;28;28;2;-
BHED_131_B-24-1-2-dep-right;BFOH_131_B-24-1-2-arr-right;driving;23;23;2;-
BFOH_132_B-24-1-2-arr-left;BFOH_132_B-24-1-2-dep-left;waiting;5;67;2;-
BFOH_131_B-24-1-2-arr-right;BFOH_131_B-24-1-2-dep-right;waiting;5;67;2;-
BFOH_132_B-24-1-2-dep-left;BHN_4_B-24-1-2-arr-left;driving;40;40;2;-
BFOH_132_B-24-1-2-dep-left;BHN_3_B-24-1-2-arr-right;driving;45;45;2;-
BHN_4_B-24-1-2-arr-left;BHN_4_B-24-1-2-dep-left;waiting;5;67;2;-
BHN_3_B-24-1-2-arr-right;BHN_3_B-24-1-2-dep-right;waiting;5;67;2;-
BFOH_131_B-24-1-2-dep-right;BHN_4_B-24-1-2-arr-left;driving;45;45;2;-
BFOH_131_B-24-1-2-dep-right;BHN_3_B-24-1-2-arr-right;driving;40;40;2;-
BHN_4_B-24-1-2-dep-left;BBIW_6_B-24-1-2-arr-left;driving;25;25;2;-
BHN_4_B-24-1-2-dep-left;BBIW_4_B-24-1-2-arr-right;driving;30;30;2;-
BBIW_6_B-24-1-2-arr-left;BBIW_6_B-24-1-2-dep-left;waiting;5;67;2;-
BBIW_4_B-24-1-2-arr-right;BBIW_4_B-24-1-2-dep-right;waiting;5;67;2;-
BHN_3_B-24-1-2-dep-right;BBIW_6_B-24-1-2-arr-left;driving;30;30;2;-
BHN_3_B-24-1-2-dep-right;BBIW_4_B-24-1-2-arr-right;driving;25;25;2;-
BBIW_6_B-24-1-2-dep-left;BBOR_3_B-24-1-2-arr-right;driving;35;35;2;-
BBOR_3_B-24-1-2-arr-right;BBOR_3_B-24-1-2-dep-right;waiting;5;100;2;-
BBIW_4_B-24-1-2-dep-right;BBOR_3_B-24-1-2-arr-right;driving;30;30;2;-
BBOR_3_B-24-1-2-dep-right;BLEN_101_B-24-1-2-arr-right;driving;28;28;2;-
BLEN_101_B-24-1-2-arr-right;BLEN_101_B-24-1-2-dep-right;waiting;5;100;2;-
BLEN_101_B-24-1-2-dep-right;BORB_32_B-24-1-21-arr-left;driving;29;29;2;-
BLEN_101_B-24-1-2-dep-right;BORB_30_B-24-1-21-arr-right;driving;24;24;2;-
BORB_32_B-24-1-21-arr-left;BORB_32_B-24-1-21-dep-right;turn;20;180;1;-
BORB_30_B-24-1-21-arr-right;BORB_30_B-24-1-21-dep-left;turn;20;180;1;-
BBOS_611_B-24-1-1-dep-right;henkel_0_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-24-1-12;henkel-to;146;146;2;-
BBOS_611_B-24-1-1-dep-right;henkel_1_S1_PI_BFOH_BWSS_0_S1_PI_BWSS_BFOH_0-24-1-12;henkel-to;46;46;2;-
henkel_0_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-24-1-12;BBOS_614_B-24-1-2-arr-right;henkel-from;9;9;2;-
BBOS_614_B-24-1-2-arr-right;BBOS_614_B-24-1-2-dep-right;waiting;5;25;2;-
henkel_1_S1_PI_BFOH_BWSS_0_S1_PI_BWSS_BFOH_0-24-1-12;BBOS_614_B-24-1-2-arr-right;henkel-from;109;109;2;-
BFOH_132_B-14-1-21-dep-right;BHED_132_B-14-1-1-arr-right;driving;22;22;2;-
BHED_132_B-14-1-1-arr-right;BHED_132_B-14-1-1-dep-right;waiting;5;67;2;-
BFOH_131_B-14-1-21-dep-left;BHED_132_B-14-1-1-arr-right;driving;27;27;2;-
BHED_132_B-14-1-1-dep-right;BWAI_122_B-14-1-1-arr-right;driving;19;19;2;-
BWAI_122_B-14-1-1-arr-right;BWAI_122_B-14-1-1-dep-right;waiting;5;67;2;-
BWAI_122_B-14-1-1-dep-right;BWIN_112_B-14-1-1-arr-right;driving;18;18;2;-
BWIN_112_B-14-1-1-arr-right;BWIN_112_B-14-1-1-dep-right;waiting;5;67;2;-
BWIN_112_B-14-1-1-dep-right;BWM_102_B-14-1-1-arr-right;driving;26;26;2;-
BWM_102_B-14-1-1-arr-right;BWM_102_B-14-1-1-dep-right;waiting;5;67;2;-
BWM_102_B-14-1-1-dep-right;BSNH_684_B-14-1-1-arr-right;driving;21;21;2;-
BSNH_684_B-14-1-1-arr-right;BSNH_684_B-14-1-1-dep-right;waiting;5;50;2;-
BSNH_684_B-14-1-1-dep-right;BWOK_654_B-14-1-1-arr-right;driving;13;13;2;-
BWOK_654_B-14-1-1-arr-right;BWOK_654_B-14-1-1-dep-right;waiting;5;50;2;-
BWOK_654_B-14-1-1-dep-right;BBOS_611_B-14-1-1-arr-right;driving;16;16;2;-
BBOS_611_B-14-1-1-arr-right;BBOS_611_B-14-1-1-dep-right;waiting;5;25;2;-
BBOS_614_B-14-1-2-dep-right;BWOK_653_B-14-1-2-arr-right;driving;16;16;2;-
BWOK_653_B-14-1-2-arr-right;BWOK_653_B-14-1-2-dep-right;waiting;5;50;2;-
BSNH_683_B-14-1-2-arr-right;BSNH_683_B-14-1-2-dep-right;waiting;5;50;2;-
BWOK_653_B-14-1-2-dep-right;BSNH_683_B-14-1-2-arr-right;driving;13;13;2;-
BSNH_683_B-14-1-2-dep-right;BWM_101_B-14-1-2-arr-right;driving;21;21;2;-
BWM_101_B-14-1-2-arr-right;BWM_101_B-14-1-2-dep-right;waiting;5;67;2;-
BWM_101_B-14-1-2-dep-right;BWIN_111_B-14-1-2-arr-right;driving;26;26;2;-
BWIN_111_B-14-1-2-arr-right;BWIN_111_B-14-1-2-dep-right;waiting;5;67;2;-
BWIN_111_B-14-1-2-dep-right;BWAI_122_B-14-1-2-arr-left;driving;23;23;2;-
BWIN_111_B-14-1-2-dep-right;BWAI_121_B-14-1-2-arr-right;driving;18;18;2;-
BWAI_122_B-14-1-2-arr-left;BWAI_122_B-14-1-2-dep-left;waiting;5;67;2;-
BWAI_121_B-14-1-2-arr-right;BWAI_121_B-14-1-2-dep-right;waiting;5;67;2;-
BWAI_122_B-14-1-2-dep-left;BHED_131_B-14-1-2-arr-right;driving;23;23;2;-
BHED_131_B-14-1-2-arr-right;BHED_131_B-14-1-2-dep-right;waiting;5;67;2;-
BWAI_121_B-14-1-2-dep-right;BHED_131_B-14-1-2-arr-right;driving;18;18;2;-
BHED_131_B-14-1-2-dep-right;BFOH_132_B-14-1-21-arr-left;driving;28;28;2;-
BHED_131_B-14-1-2-dep-right;BFOH_131_B-14-1-21-arr-right;driving;23;23;2;-
BFOH_132_B-14-1-21-arr-left;BFOH_132_B-14-1-21-dep-left;waiting;5;67;1;-
BFOH_132_B-14-1-21-arr-left;BFOH_132_B-14-1-21-dep-right;turn;20;180;1;-
BFOH_131_B-14-1-21-arr-right;BFOH_131_B-14-1-21-dep-right;waiting;5;67;1;-
BFOH_131_B-14-1-21-arr-right;BFOH_131_B-14-1-21-dep-left;turn;20;180;1;-
BFOH_131_B-14-1-21-dep-right;BFOH_22_A-14-1-21-arr-right;driving;18;18;1;-
BFOH_22_A-14-1-21-arr-right;BFOH_22_A-14-1-21-dep-left;turn;20;180;1;-
BFOH_22_A-14-1-21-dep-left;BFOH_131_B-14-1-21-arr-left;driving;18;18;1;-
BFOH_22_A-14-1-21-dep-left;BFOH_132_B-14-1-21-arr-right;driving;18;18;1;-
BFOH_131_B-14-1-21-arr-left;BFOH_131_B-14-1-21-dep-left;waiting;5;67;1;-
BFOH_132_B-14-1-21-arr-right;BFOH_132_B-14-1-21-dep-right;waiting;5;67;1;-
BFOH_132_B-14-1-21-dep-left;BFOH_22_A-14-1-21-arr-right;driving;18;18;1;-
BBOS_611_B-14-1-1-dep-right;henkel_0_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-14-1-12;henkel-to;146;146;2;-
BBOS_611_B-14-1-1-dep-right;henkel_1_S1_PI_BFOH_BWSS_0_S1_PI_BWSS_BFOH_0-14-1-12;henkel-to;46;46;2;-
henkel_0_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-14-1-12;BBOS_614_B-14-1-2-arr-right;henkel-from;9;9;2;-
BBOS_614_B-14-1-2-arr-right;BBOS_614_B-14-1-2-dep-right;waiting;5;25;2;-
henkel_1_S1_PI_BFOH_BWSS_0_S1_PI_BWSS_BFOH_0-14-1-12;BBOS_614_B-14-1-2-arr-right;henkel-from;109;109;2;-
BSNH_684_B-37-1-1-dep-right;BWOK_654_B-37-1-1-arr-right;driving;13;13;2;-
BWOK_654_B-37-1-1-arr-right;BWOK_654_B-37-1-1-dep-right;waiting;5;50;2;-
BWOK_654_B-37-1-1-dep-right;BBOS_611_B-37-1-1-arr-right;driving;16;16;2;-
BBOS_611_B-37-1-1-arr-right;BBOS_611_B-37-1-1-dep-right;waiting;5;25;2;-
BBOS_614_B-37-1-2-dep-right;BWOK_653_B-37-1-2-arr-right;driving;16;16;2;-
BWOK_653_B-37-1-2-arr-right;BWOK_653_B-37-1-2-dep-right;waiting;5;50;2;-
BSNH_683_B-37-1-2-arr-right;BSNH_683_B-37-1-2-dep-right;waiting;5;50;2;-
BWOK_653_B-37-1-2-dep-right;BSNH_683_B-37-1-2-arr-right;driving;13;13;2;-
BBOS_611_B-37-1-1-dep-right;henkel_4_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-37-1-12;henkel-to;68;68;2;-
BBOS_611_B-37-1-1-dep-right;henkel_6_S26_VI_BTLS_BWAI_0_S26_VI_BWAI_BTLS_0-37-1-12;henkel-to;168;168;2;-
henkel_4_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-37-1-12;BBOS_614_B-37-1-2-arr-right;henkel-from;39;39;2;-
BBOS_614_B-37-1-2-arr-right;BBOS_614_B-37-1-2-dep-right;waiting;5;25;2;-
henkel_6_S26_VI_BTLS_BWAI_0_S26_VI_BWAI_BTLS_0-37-1-12;BBOS_614_B-37-1-2-arr-right;henkel-from;139;139;2;-
BSNH_683_B-37-1-2-dep-right;henkel_5_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-37-1-21;henkel-to;117;117;2;-
henkel_5_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-37-1-21;BSNH_684_B-37-1-1-arr-right;henkel-from;80;80;2;-
BSNH_684_B-37-1-1-arr-right;BSNH_684_B-37-1-1-dep-right;waiting;5;50;2;-
BORB_32_B-26-1-21-dep-right;BLEN_102_B-26-1-1-arr-right;driving;21;21;2;-
BLEN_102_B-26-1-1-arr-right;BLEN_102_B-26-1-1-dep-right;waiting;5;100;2;-
BORB_30_B-26-1-21-dep-left;BLEN_102_B-26-1-1-arr-right;driving;26;26;2;-
BLEN_102_B-26-1-1-dep-right;BBOR_4_B-26-1-1-arr-right;driving;29;29;2;-
BBOR_4_B-26-1-1-arr-right;BBOR_4_B-26-1-1-dep-right;waiting;5;100;2;-
BBOR_4_B-26-1-1-dep-right;BBIW_6_B-26-1-1-arr-right;driving;29;29;2;-
BBIW_6_B-26-1-1-arr-right;BBIW_6_B-26-1-1-dep-right;waiting;5;67;2;-
BBIW_6_B-26-1-1-dep-right;BHN_4_B-26-1-1-arr-right;driving;25;25;2;-
BBIW_6_B-26-1-1-dep-right;BHN_3_B-26-1-1-arr-left;driving;30;30;2;-
BHN_4_B-26-1-1-arr-right;BHN_4_B-26-1-1-dep-right;waiting;5;67;2;-
BHN_3_B-26-1-1-arr-left;BHN_3_B-26-1-1-dep-left;waiting;5;67;2;-
BHN_4_B-26-1-1-dep-right;BFOH_132_B-26-1-1-arr-right;driving;42;42;2;-
BHN_4_B-26-1-1-dep-right;BFOH_131_B-26-1-1-arr-left;driving;47;47;2;-
BFOH_132_B-26-1-1-arr-right;BFOH_132_B-26-1-1-dep-right;waiting;5;67;2;-
BFOH_131_B-26-1-1-arr-left;BFOH_131_B-26-1-1-dep-left;waiting;5;67;2;-
BHN_3_B-26-1-1-dep-left;BFOH_132_B-26-1-1-arr-right;driving;47;47;2;-
BHN_3_B-26-1-1-dep-left;BFOH_131_B-26-1-1-arr-left;driving;42;42;2;-
BFOH_132_B-26-1-1-dep-right;BHED_132_B-26-1-1-arr-right;driving;22;22;2;-
BHED_132_B-26-1-1-arr-right;BHED_132_B-26-1-1-dep-right;waiting;5;67;2;-
BFOH_131_B-26-1-1-dep-left;BHED_132_B-26-1-1-arr-right;driving;27;27;2;-
BHED_132_B-26-1-1-dep-right;BWAI_122_B-26-1-1-arr-right;driving;19;19;2;-
BWAI_122_B-26-1-1-arr-right;BWAI_122_B-26-1-1-dep-right;waiting;5;67;2;-
BWAI_122_B-26-1-1-dep-right;BWIN_112_B-26-1-1-arr-right;driving;18;18;2;-
BWIN_112_B-26-1-1-arr-right;BWIN_112_B-26-1-1-dep-right;waiting;5;67;2;-
BWIN_112_B-26-1-1-dep-right;BWM_102_B-26-1-1-arr-right;driving;26;26;2;-
BWM_102_B-26-1-1-arr-right;BWM_102_B-26-1-1-dep-right;waiting;5;67;2;-
BWM_102_B-26-1-1-dep-right;BSNH_684_B-26-1-1-arr-right;driving;21;21;2;-
BSNH_684_B-26-1-1-arr-right;BSNH_684_B-26-1-1-dep-right;waiting;5;50;2;-
BSNH_684_B-26-1-1-dep-right;BWOK_654_B-26-1-1-arr-right;driving;13;13;2;-
BWOK_654_B-26-1-1-arr-right;BWOK_654_B-26-1-1-dep-right;waiting;5;50;2;-
BWOK_654_B-26-1-1-dep-right;BBOS_611_B-26-1-1-arr-right;driving;16;16;2;-
BBOS_611_B-26-1-1-arr-right;BBOS_611_B-26-1-1-dep-right;waiting;5;25;2;-
BBOS_614_B-26-1-2-dep-right;BWOK_653_B-26-1-2-arr-right;driving;16;16;2;-
BWOK_653_B-26-1-2-arr-right;BWOK_653_B-26-1-2-dep-right;waiting;5;50;2;-
BSNH_683_B-26-1-2-arr-right;BSNH_683_B-26-1-2-dep-right;waiting;5;50;2;-
BWOK_653_B-26-1-2-dep-right;BSNH_683_B-26-1-2-arr-right;driving;13;13;2;-
BSNH_683_B-26-1-2-dep-right;BWM_101_B-26-1-2-arr-right;driving;21;21;2;-
BWM_101_B-26-1-2-arr-right;BWM_101_B-26-1-2-dep-right;waiting;5;67;2;-
BWM_101_B-26-1-2-dep-right;BWIN_111_B-26-1-2-arr-right;driving;26;26;2;-
BWIN_111_B-26-1-2-arr-right;BWIN_111_B-26-1-2-dep-right;waiting;5;67;2;-
BWIN_111_B-26-1-2-dep-right;BWAI_122_B-26-1-2-arr-left;driving;23;23;2;-
BWIN_111_B-26-1-2-dep-right;BWAI_121_B-26-1-2-arr-right;driving;18;18;2;-
