#file for arcs using the same infrastructure in the sense that activities (i,j) and (i_bar, j_bar) occupy the same underlying infrastructure
i,j,i_bar,j_bar
BGB_723_B-5-1-1-arr-right,BGB_723_B-5-1-1-dep-right,BGB_723_B-4-1-21-arr-left,BGB_723_B-4-1-21-dep-right
BGB_723_B-5-1-1-arr-right,BGB_723_B-5-1-1-dep-right,BGB_723_B-4-2-21-arr-left,BGB_723_B-4-2-21-dep-right
BGB_723_B-5-1-1-arr-right,BGB_723_B-5-1-1-dep-right,BGB_723_B-5-2-1-arr-right,BGB_723_B-5-2-1-dep-right
BGB_723_B-2-1-21-arr-left,BGB_723_B-2-1-21-dep-right,BGB_723_B-4-1-21-arr-left,BGB_723_B-4-1-21-dep-right
BGB_723_B-2-1-21-arr-left,BGB_723_B-2-1-21-dep-right,BGB_723_B-4-2-21-arr-left,BGB_723_B-4-2-21-dep-right
BGB_723_B-2-1-21-arr-left,BGB_723_B-2-1-21-dep-right,BGB_723_B-5-2-1-arr-right,BGB_723_B-5-2-1-dep-right
BGB_723_B-4-1-21-arr-left,BGB_723_B-4-1-21-dep-right,BGB_723_B-4-2-21-arr-left,BGB_723_B-4-2-21-dep-right
BGB_723_B-4-1-21-arr-left,BGB_723_B-4-1-21-dep-right,BGB_723_B-5-2-1-arr-right,BGB_723_B-5-2-1-dep-right
BGB_723_B-4-2-21-arr-left,BGB_723_B-4-2-21-dep-right,BGB_723_B-5-2-1-arr-right,BGB_723_B-5-2-1-dep-right
BGB_742_A-2-1-21-arr-right,BGB_742_A-2-1-21-dep-left,BGB_742_A-4-1-21-arr-right,BGB_742_A-4-1-21-dep-left
BGB_742_A-2-1-21-arr-right,BGB_742_A-2-1-21-dep-left,BGB_742_A-4-2-21-arr-right,BGB_742_A-4-2-21-dep-left
BGB_742_A-4-1-21-arr-right,BGB_742_A-4-1-21-dep-left,BGB_742_A-4-2-21-arr-right,BGB_742_A-4-2-21-dep-left
BGB_724_B-37-1-2-arr-right,BGB_724_B-37-1-2-dep-right,BGB_724_B-2-1-21-arr-right,BGB_724_B-2-1-21-dep-right
BGB_724_B-37-1-2-arr-right,BGB_724_B-37-1-2-dep-right,BGB_724_B-4-1-21-arr-right,BGB_724_B-4-1-21-dep-right
BGB_724_B-37-1-2-arr-right,BGB_724_B-37-1-2-dep-right,BGB_724_B-63-1-2-arr-right,BGB_724_B-63-1-2-dep-right
BGB_724_B-37-1-2-arr-right,BGB_724_B-37-1-2-dep-right,BGB_724_B-43-1-2-arr-right,BGB_724_B-43-1-2-dep-right
BGB_724_B-37-1-2-arr-right,BGB_724_B-37-1-2-dep-right,BGB_724_B-4-2-21-arr-right,BGB_724_B-4-2-21-dep-right
BGB_724_B-2-1-21-arr-right,BGB_724_B-2-1-21-dep-right,BGB_724_B-4-1-21-arr-right,BGB_724_B-4-1-21-dep-right
BGB_724_B-2-1-21-arr-right,BGB_724_B-2-1-21-dep-right,BGB_724_B-63-1-2-arr-right,BGB_724_B-63-1-2-dep-right
BGB_724_B-2-1-21-arr-right,BGB_724_B-2-1-21-dep-right,BGB_724_B-43-1-2-arr-right,BGB_724_B-43-1-2-dep-right
BGB_724_B-2-1-21-arr-right,BGB_724_B-2-1-21-dep-right,BGB_724_B-4-2-21-arr-right,BGB_724_B-4-2-21-dep-right
BGB_724_B-4-1-21-arr-right,BGB_724_B-4-1-21-dep-right,BGB_724_B-63-1-2-arr-right,BGB_724_B-63-1-2-dep-right
BGB_724_B-4-1-21-arr-right,BGB_724_B-4-1-21-dep-right,BGB_724_B-43-1-2-arr-right,BGB_724_B-43-1-2-dep-right
BGB_724_B-4-1-21-arr-right,BGB_724_B-4-1-21-dep-right,BGB_724_B-4-2-21-arr-right,BGB_724_B-4-2-21-dep-right
BGB_724_B-63-1-2-arr-right,BGB_724_B-63-1-2-dep-right,BGB_724_B-43-1-2-arr-right,BGB_724_B-43-1-2-dep-right
BGB_724_B-63-1-2-arr-right,BGB_724_B-63-1-2-dep-right,BGB_724_B-4-2-21-arr-right,BGB_724_B-4-2-21-dep-right
BGB_724_B-43-1-2-arr-right,BGB_724_B-43-1-2-dep-right,BGB_724_B-4-2-21-arr-right,BGB_724_B-4-2-21-dep-right
BPHD_1_B-37-1-1-arr-right,BPHD_1_B-37-1-1-dep-right,BPHD_1_B-43-1-1-arr-right,BPHD_1_B-43-1-1-dep-right
BPHD_1_B-37-1-1-arr-right,BPHD_1_B-37-1-1-dep-right,BPHD_1_B-23-1-1-arr-right,BPHD_1_B-23-1-1-dep-right
BPHD_1_B-37-1-1-arr-right,BPHD_1_B-37-1-1-dep-right,BPHD_1_B-63-1-1-arr-right,BPHD_1_B-63-1-1-dep-right
BPHD_1_B-43-1-1-arr-right,BPHD_1_B-43-1-1-dep-right,BPHD_1_B-23-1-1-arr-right,BPHD_1_B-23-1-1-dep-right
BPHD_1_B-43-1-1-arr-right,BPHD_1_B-43-1-1-dep-right,BPHD_1_B-63-1-1-arr-right,BPHD_1_B-63-1-1-dep-right
BPHD_1_B-23-1-1-arr-right,BPHD_1_B-23-1-1-dep-right,BPHD_1_B-63-1-1-arr-right,BPHD_1_B-63-1-1-dep-right
BPKW_642_B-23-1-1-arr-right,BPKW_642_B-23-1-1-dep-right,BPKW_642_B-43-1-1-arr-right,BPKW_642_B-43-1-1-dep-right
BPKW_642_B-23-1-1-arr-right,BPKW_642_B-23-1-1-dep-right,BPKW_642_B-63-1-1-arr-right,BPKW_642_B-63-1-1-dep-right
BPKW_642_B-23-1-1-arr-right,BPKW_642_B-23-1-1-dep-right,BPKW_642_B-37-1-1-arr-right,BPKW_642_B-37-1-1-dep-right
BPKW_642_B-23-1-1-arr-right,BPKW_642_B-23-1-1-dep-right,BPKW_642_B-56-1-12-arr-left,BPKW_642_B-56-1-12-dep-right
BPKW_642_B-43-1-1-arr-right,BPKW_642_B-43-1-1-dep-right,BPKW_642_B-63-1-1-arr-right,BPKW_642_B-63-1-1-dep-right
BPKW_642_B-43-1-1-arr-right,BPKW_642_B-43-1-1-dep-right,BPKW_642_B-37-1-1-arr-right,BPKW_642_B-37-1-1-dep-right
BPKW_642_B-43-1-1-arr-right,BPKW_642_B-43-1-1-dep-right,BPKW_642_B-56-1-12-arr-left,BPKW_642_B-56-1-12-dep-right
BPKW_642_B-63-1-1-arr-right,BPKW_642_B-63-1-1-dep-right,BPKW_642_B-37-1-1-arr-right,BPKW_642_B-37-1-1-dep-right
BPKW_642_B-63-1-1-arr-right,BPKW_642_B-63-1-1-dep-right,BPKW_642_B-56-1-12-arr-left,BPKW_642_B-56-1-12-dep-right
BPKW_642_B-37-1-1-arr-right,BPKW_642_B-37-1-1-dep-right,BPKW_642_B-56-1-12-arr-left,BPKW_642_B-56-1-12-dep-right
BBOS_612_B-23-1-1-arr-right,BBOS_612_B-23-1-1-dep-right,BBOS_612_B-56-1-2-arr-right,BBOS_612_B-56-1-2-dep-right
BBOS_612_B-23-1-1-arr-right,BBOS_612_B-23-1-1-dep-right,BBOS_612_B-37-1-1-arr-right,BBOS_612_B-37-1-1-dep-right
BBOS_612_B-23-1-1-arr-right,BBOS_612_B-23-1-1-dep-right,BBOS_612_B-63-1-1-arr-right,BBOS_612_B-63-1-1-dep-right
BBOS_612_B-23-1-1-arr-right,BBOS_612_B-23-1-1-dep-right,BBOS_612_B-43-1-1-arr-right,BBOS_612_B-43-1-1-dep-right
BBOS_612_B-56-1-2-arr-right,BBOS_612_B-56-1-2-dep-right,BBOS_612_B-37-1-1-arr-right,BBOS_612_B-37-1-1-dep-right
BBOS_612_B-56-1-2-arr-right,BBOS_612_B-56-1-2-dep-right,BBOS_612_B-63-1-1-arr-right,BBOS_612_B-63-1-1-dep-right
BBOS_612_B-56-1-2-arr-right,BBOS_612_B-56-1-2-dep-right,BBOS_612_B-43-1-1-arr-right,BBOS_612_B-43-1-1-dep-right
BBOS_612_B-37-1-1-arr-right,BBOS_612_B-37-1-1-dep-right,BBOS_612_B-63-1-1-arr-right,BBOS_612_B-63-1-1-dep-right
BBOS_612_B-37-1-1-arr-right,BBOS_612_B-37-1-1-dep-right,BBOS_612_B-43-1-1-arr-right,BBOS_612_B-43-1-1-dep-right
BBOS_612_B-63-1-1-arr-right,BBOS_612_B-63-1-1-dep-right,BBOS_612_B-43-1-1-arr-right,BBOS_612_B-43-1-1-dep-right
BPKW_641_B-37-1-2-arr-right,BPKW_641_B-37-1-2-dep-right,BPKW_641_B-43-1-2-arr-right,BPKW_641_B-43-1-2-dep-right
BPKW_641_B-37-1-2-arr-right,BPKW_641_B-37-1-2-dep-right,BPKW_641_B-23-1-2-arr-right,BPKW_641_B-23-1-2-dep-right
BPKW_641_B-37-1-2-arr-right,BPKW_641_B-37-1-2-dep-right,BPKW_641_B-63-1-2-arr-right,BPKW_641_B-63-1-2-dep-right
BPKW_641_B-37-1-2-arr-right,BPKW_641_B-37-1-2-dep-right,BPKW_641_B-56-1-12-arr-right,BPKW_641_B-56-1-12-dep-left
BPKW_641_B-43-1-2-arr-right,BPKW_641_B-43-1-2-dep-right,BPKW_641_B-23-1-2-arr-right,BPKW_641_B-23-1-2-dep-right
BPKW_641_B-43-1-2-arr-right,BPKW_641_B-43-1-2-dep-right,BPKW_641_B-63-1-2-arr-right,BPKW_641_B-63-1-2-dep-right
BPKW_641_B-43-1-2-arr-right,BPKW_641_B-43-1-2-dep-right,BPKW_641_B-56-1-12-arr-right,BPKW_641_B-56-1-12-dep-left
BPKW_641_B-23-1-2-arr-right,BPKW_641_B-23-1-2-dep-right,BPKW_641_B-63-1-2-arr-right,BPKW_641_B-63-1-2-dep-right
BPKW_641_B-23-1-2-arr-right,BPKW_641_B-23-1-2-dep-right,BPKW_641_B-56-1-12-arr-right,BPKW_641_B-56-1-12-dep-left
BPKW_641_B-63-1-2-arr-right,BPKW_641_B-63-1-2-dep-right,BPKW_641_B-56-1-12-arr-right,BPKW_641_B-56-1-12-dep-left
BPHD_2_B-37-1-2-arr-right,BPHD_2_B-37-1-2-dep-right,BPHD_2_B-63-1-2-arr-right,BPHD_2_B-63-1-2-dep-right
BPHD_2_B-37-1-2-arr-right,BPHD_2_B-37-1-2-dep-right,BPHD_2_B-23-1-2-arr-right,BPHD_2_B-23-1-2-dep-right
BPHD_2_B-37-1-2-arr-right,BPHD_2_B-37-1-2-dep-right,BPHD_2_B-43-1-2-arr-right,BPHD_2_B-43-1-2-dep-right
BPHD_2_B-63-1-2-arr-right,BPHD_2_B-63-1-2-dep-right,BPHD_2_B-23-1-2-arr-right,BPHD_2_B-23-1-2-dep-right
BPHD_2_B-63-1-2-arr-right,BPHD_2_B-63-1-2-dep-right,BPHD_2_B-43-1-2-arr-right,BPHD_2_B-43-1-2-dep-right
BPHD_2_B-23-1-2-arr-right,BPHD_2_B-23-1-2-dep-right,BPHD_2_B-43-1-2-arr-right,BPHD_2_B-43-1-2-dep-right
BBLB_4_B-23-1-21-arr-right,BBLB_4_B-23-1-21-dep-right,BBLB_4_B-37-1-2-arr-right,BBLB_4_B-37-1-2-dep-right
BBLB_4_B-23-1-21-arr-right,BBLB_4_B-23-1-21-dep-right,BBLB_4_B-63-1-2-arr-right,BBLB_4_B-63-1-2-dep-right
BBLB_4_B-23-1-21-arr-right,BBLB_4_B-23-1-21-dep-right,BBLB_4_B-43-1-2-arr-right,BBLB_4_B-43-1-2-dep-right
BBLB_4_B-37-1-2-arr-right,BBLB_4_B-37-1-2-dep-right,BBLB_4_B-63-1-2-arr-right,BBLB_4_B-63-1-2-dep-right
BBLB_4_B-37-1-2-arr-right,BBLB_4_B-37-1-2-dep-right,BBLB_4_B-43-1-2-arr-right,BBLB_4_B-43-1-2-dep-right
BBLB_4_B-63-1-2-arr-right,BBLB_4_B-63-1-2-dep-right,BBLB_4_B-43-1-2-arr-right,BBLB_4_B-43-1-2-dep-right
BBLB_1_B-63-1-1-arr-right,BBLB_1_B-63-1-1-dep-right,BBLB_1_B-43-1-1-arr-right,BBLB_1_B-43-1-1-dep-right
BBLB_1_B-63-1-1-arr-right,BBLB_1_B-63-1-1-dep-right,BBLB_1_B-37-1-1-arr-right,BBLB_1_B-37-1-1-dep-right
BBLB_1_B-63-1-1-arr-right,BBLB_1_B-63-1-1-dep-right,BBLB_1_B-23-1-21-arr-right,BBLB_1_B-23-1-21-dep-right
BBLB_1_B-43-1-1-arr-right,BBLB_1_B-43-1-1-dep-right,BBLB_1_B-37-1-1-arr-right,BBLB_1_B-37-1-1-dep-right
BBLB_1_B-43-1-1-arr-right,BBLB_1_B-43-1-1-dep-right,BBLB_1_B-23-1-21-arr-right,BBLB_1_B-23-1-21-dep-right
BBLB_1_B-37-1-1-arr-right,BBLB_1_B-37-1-1-dep-right,BBLB_1_B-23-1-21-arr-right,BBLB_1_B-23-1-21-dep-right
BBOS_613_B-63-1-2-arr-right,BBOS_613_B-63-1-2-dep-right,BBOS_613_B-37-1-2-arr-right,BBOS_613_B-37-1-2-dep-right
BBOS_613_B-63-1-2-arr-right,BBOS_613_B-63-1-2-dep-right,BBOS_613_B-23-1-2-arr-right,BBOS_613_B-23-1-2-dep-right
BBOS_613_B-63-1-2-arr-right,BBOS_613_B-63-1-2-dep-right,BBOS_613_B-56-1-1-arr-right,BBOS_613_B-56-1-1-dep-right
BBOS_613_B-63-1-2-arr-right,BBOS_613_B-63-1-2-dep-right,BBOS_613_B-43-1-2-arr-right,BBOS_613_B-43-1-2-dep-right
BBOS_613_B-37-1-2-arr-right,BBOS_613_B-37-1-2-dep-right,BBOS_613_B-23-1-2-arr-right,BBOS_613_B-23-1-2-dep-right
BBOS_613_B-37-1-2-arr-right,BBOS_613_B-37-1-2-dep-right,BBOS_613_B-56-1-1-arr-right,BBOS_613_B-56-1-1-dep-right
BBOS_613_B-37-1-2-arr-right,BBOS_613_B-37-1-2-dep-right,BBOS_613_B-43-1-2-arr-right,BBOS_613_B-43-1-2-dep-right
BBOS_613_B-23-1-2-arr-right,BBOS_613_B-23-1-2-dep-right,BBOS_613_B-56-1-1-arr-right,BBOS_613_B-56-1-1-dep-right
BBOS_613_B-23-1-2-arr-right,BBOS_613_B-23-1-2-dep-right,BBOS_613_B-43-1-2-arr-right,BBOS_613_B-43-1-2-dep-right
BBOS_613_B-56-1-1-arr-right,BBOS_613_B-56-1-1-dep-right,BBOS_613_B-43-1-2-arr-right,BBOS_613_B-43-1-2-dep-right
BBIW_6_B-22-1-21-arr-left,BBIW_6_B-22-1-21-dep-left,BBIW_6_B-22-1-21-arr-left,BBIW_6_B-22-1-21-dep-right
BBIW_6_B-22-1-21-arr-left,BBIW_6_B-22-1-21-dep-left,BBIW_6_B-63-1-2-arr-left,BBIW_6_B-63-1-2-dep-left
BBIW_6_B-22-1-21-arr-left,BBIW_6_B-22-1-21-dep-left,BBIW_6_B-22-1-21-arr-right,BBIW_6_B-22-1-21-dep-right
BBIW_6_B-22-1-21-arr-left,BBIW_6_B-22-1-21-dep-left,BBIW_6_B-63-1-1-arr-right,BBIW_6_B-63-1-1-dep-right
BBIW_6_B-22-1-21-arr-left,BBIW_6_B-22-1-21-dep-right,BBIW_6_B-63-1-2-arr-left,BBIW_6_B-63-1-2-dep-left
BBIW_6_B-22-1-21-arr-left,BBIW_6_B-22-1-21-dep-right,BBIW_6_B-22-1-21-arr-right,BBIW_6_B-22-1-21-dep-right
BBIW_6_B-22-1-21-arr-left,BBIW_6_B-22-1-21-dep-right,BBIW_6_B-63-1-1-arr-right,BBIW_6_B-63-1-1-dep-right
BBIW_6_B-63-1-2-arr-left,BBIW_6_B-63-1-2-dep-left,BBIW_6_B-22-1-21-arr-right,BBIW_6_B-22-1-21-dep-right
BBIW_6_B-63-1-2-arr-left,BBIW_6_B-63-1-2-dep-left,BBIW_6_B-63-1-1-arr-right,BBIW_6_B-63-1-1-dep-right
BBIW_6_B-22-1-21-arr-right,BBIW_6_B-22-1-21-dep-right,BBIW_6_B-63-1-1-arr-right,BBIW_6_B-63-1-1-dep-right
BHN_4_B-63-1-1-arr-right,BHN_4_B-63-1-1-dep-right,BHN_4_B-22-1-1-arr-right,BHN_4_B-22-1-1-dep-right
BHN_4_B-63-1-1-arr-right,BHN_4_B-63-1-1-dep-right,BHN_4_B-22-1-2-arr-left,BHN_4_B-22-1-2-dep-left
BHN_4_B-22-1-1-arr-right,BHN_4_B-22-1-1-dep-right,BHN_4_B-22-1-2-arr-left,BHN_4_B-22-1-2-dep-left
BSNF_6_B-63-1-1-arr-left,BSNF_6_B-63-1-1-dep-left,BSNF_6_B-63-1-2-arr-right,BSNF_6_B-63-1-2-dep-right
BMM_6_B-63-1-2-arr-right,BMM_6_B-63-1-2-dep-right,BMM_6_B-63-1-1-arr-right,BMM_6_B-63-1-1-dep-right
BARK_701_WA-63-1-1-arr-right,BARK_701_WA-63-1-1-dep-right,BARK_701_WA-63-1-2-arr-right,BARK_701_WA-63-1-2-dep-right
BAKS_2_WA-63-1-2-arr-right,BAKS_2_WA-63-1-2-dep-right,BAKS_2_WA-63-1-1-arr-right,BAKS_2_WA-63-1-1-dep-right
BHN_3_B-22-1-2-arr-right,BHN_3_B-22-1-2-dep-right,BHN_3_B-63-1-2-arr-right,BHN_3_B-63-1-2-dep-right
BHN_3_B-22-1-2-arr-right,BHN_3_B-22-1-2-dep-right,BHN_3_B-22-1-1-arr-left,BHN_3_B-22-1-1-dep-left
BHN_3_B-63-1-2-arr-right,BHN_3_B-63-1-2-dep-right,BHN_3_B-22-1-1-arr-left,BHN_3_B-22-1-1-dep-left
BBIW_4_B-22-1-21-arr-right,BBIW_4_B-22-1-21-dep-right,BBIW_4_B-63-1-2-arr-right,BBIW_4_B-63-1-2-dep-right
BFOH_131_B-22-1-1-arr-left,BFOH_131_B-22-1-1-dep-left,BFOH_131_B-22-1-2-arr-right,BFOH_131_B-22-1-2-dep-right
BFOH_132_B-22-1-2-arr-left,BFOH_132_B-22-1-2-dep-left,BFOH_132_B-22-1-1-arr-right,BFOH_132_B-22-1-1-dep-right
BWAI_541_A-22-1-12-arr-right,BWAI_541_A-22-1-12-dep-left,BWAI_541_A-22-1-12-arr-left,BWAI_541_A-22-1-12-dep-left
BWAI_541_A-22-1-12-arr-right,BWAI_541_A-22-1-12-dep-left,BWAI_541_A-22-1-12-arr-right,BWAI_541_A-22-1-12-dep-right
BWAI_541_A-22-1-12-arr-left,BWAI_541_A-22-1-12-dep-left,BWAI_541_A-22-1-12-arr-right,BWAI_541_A-22-1-12-dep-right
