# number of nodes: 121
# number of edges: 145
# number of fixed handles: 5
# 
start,end,type,l,u,w
BGAS_857_A-17-1-21-dep-left,BGAS_813_B-17-1-21-arr-left,driving,19.0,19.0,1
BGAS_857_A-17-1-21-dep-left,BGAS_814_B-17-1-21-arr-right,driving,19.0,19.0,1
BGAS_814_B-17-1-21-arr-right,BGAS_814_B-17-1-21-dep-right,waiting,5,100,1
BGAS_812_B-17-1-21-dep-right,BGAS_855_A-17-1-21-arr-right,driving,19.0,19.0,1
BGAS_812_B-17-1-21-dep-right,BGAS_857_A-17-1-21-arr-right,driving,19.0,19.0,1
BGAS_813_B-17-1-21-dep-right,BGAS_857_A-17-1-21-arr-right,driving,19.0,19.0,1
BGKR_112_WA-17-1-1-dep-right,henkel_1_S46_D_BKW_BWES_0_S46_D_BWES_BKW_0-17-1-12,henkel-to,19,19,2
henkel_1_S46_D_BKW_BWES_0_S46_D_BWES_BKW_0-17-1-12,BGKR_111_WA-17-1-2-arr-right,henkel-from,182,182,2
BGKR_111_WA-17-1-2-arr-right,BGKR_111_WA-17-1-2-dep-right,waiting,0,0,2
BGKR_111_WA-18-1-1-dep-right,BGAS_811_B-18-1-12-arr-right,driving,16,16,2
BGKR_111_WA-18-1-1-dep-right,BGAS_812_B-18-1-12-arr-right,driving,16,16,2
BGAS_811_B-18-1-12-arr-right,BGAS_811_B-18-1-12-dep-right,waiting,5,100,1
BGAS_812_B-18-1-12-arr-right,BGAS_812_B-18-1-12-dep-right,waiting,5,100,1
BGAS_813_B-18-1-12-dep-left,BGKR_112_WA-18-1-2-arr-right,driving,19,19,2
BGKR_112_WA-18-1-2-arr-right,BGKR_112_WA-18-1-2-dep-right,waiting,0,0,2
BGAS_814_B-18-1-12-dep-right,BGKR_112_WA-18-1-2-arr-right,driving,14,14,2
BGAS_811_B-18-1-12-dep-right,BGAS_856_A-18-1-12-arr-right,driving,19.0,19.0,1
BGAS_811_B-18-1-12-dep-right,BGAS_857_A-18-1-12-arr-right,driving,19.0,19.0,1
BGAS_856_A-18-1-12-arr-right,BGAS_856_A-18-1-12-dep-left,turn,20,180,1
BGAS_856_A-18-1-12-dep-left,BGAS_811_B-18-1-12-arr-left,driving,19.0,19.0,1
BGAS_856_A-18-1-12-dep-left,BGAS_812_B-18-1-12-arr-left,driving,19.0,19.0,1
BGAS_856_A-18-1-12-dep-left,BGAS_813_B-18-1-12-arr-left,driving,19.0,19.0,1
BGAS_811_B-18-1-12-arr-left,BGAS_811_B-18-1-12-dep-right,turn,20,180,1
BGAS_812_B-18-1-12-arr-left,BGAS_812_B-18-1-12-dep-right,turn,20,180,1
BGAS_813_B-18-1-12-arr-left,BGAS_813_B-18-1-12-dep-left,waiting,5,100,1
BGAS_813_B-18-1-12-arr-left,BGAS_813_B-18-1-12-dep-right,turn,20,180,1
BGAS_857_A-18-1-12-arr-right,BGAS_857_A-18-1-12-dep-left,turn,20,180,1
BGAS_857_A-18-1-12-dep-left,BGAS_811_B-18-1-12-arr-left,driving,19.0,19.0,1
BGAS_857_A-18-1-12-dep-left,BGAS_812_B-18-1-12-arr-left,driving,19.0,19.0,1
BGAS_857_A-18-1-12-dep-left,BGAS_813_B-18-1-12-arr-left,driving,19.0,19.0,1
BGAS_857_A-18-1-12-dep-left,BGAS_814_B-18-1-12-arr-right,driving,19.0,19.0,1
BGAS_814_B-18-1-12-arr-right,BGAS_814_B-18-1-12-dep-right,waiting,5,100,1
BGAS_812_B-18-1-12-dep-right,BGAS_856_A-18-1-12-arr-right,driving,19.0,19.0,1
BGAS_812_B-18-1-12-dep-right,BGAS_857_A-18-1-12-arr-right,driving,19.0,19.0,1
BGAS_813_B-18-1-12-dep-right,BGAS_857_A-18-1-12-arr-right,driving,19.0,19.0,1
BGKR_112_WA-18-1-2-dep-right,henkel_2_S8_N_BBIW_BZTH_0_S8_N_BZTH_BBIW_0-18-1-21,henkel-to,94,94,2
henkel_2_S8_N_BBIW_BZTH_0_S8_N_BZTH_BBIW_0-18-1-21,BGKR_111_WA-18-1-1-arr-right,henkel-from,57,57,2
BGKR_111_WA-18-1-1-arr-right,BGKR_111_WA-18-1-1-dep-right,waiting,0,0,2
BFBB_6_B-9-1-21-dep-right,BWAF_2_B-9-1-1-arr-right,driving,35,35,2
BWAF_2_B-9-1-1-arr-right,BWAF_2_B-9-1-1-dep-right,waiting,5,67,2
BFBB_5_B-9-1-21-dep-left,BWAF_2_B-9-1-1-arr-right,driving,40,40,2
BWAF_2_B-9-1-1-dep-right,BFLH_671_B-9-1-1-arr-left,driving,43,43,2
BWAF_2_B-9-1-1-dep-right,BFLH_672_B-9-1-1-arr-right,driving,38,38,2
BFLH_671_B-9-1-1-arr-left,BFLH_671_B-9-1-1-dep-left,waiting,5,67,2
BFLH_672_B-9-1-1-arr-right,BFLH_672_B-9-1-1-dep-right,waiting,5,67,2
BFLH_671_B-9-1-1-dep-left,BGBA_652_B-9-1-1-arr-right,driving,30,30,2
BGBA_652_B-9-1-1-arr-right,BGBA_652_B-9-1-1-dep-right,waiting,5,67,2
BFLH_672_B-9-1-1-dep-right,BGBA_652_B-9-1-1-arr-right,driving,25,25,2
BGBA_652_B-9-1-1-dep-right,BAGL_642_B-9-1-1-arr-right,driving,19,19,2
BAGL_642_B-9-1-1-arr-right,BAGL_642_B-9-1-1-dep-right,waiting,5,67,2
BAGL_642_B-9-1-1-dep-right,BGKR_112_WA-9-1-1-arr-right,driving,19,19,2
BGKR_112_WA-9-1-1-arr-right,BGKR_112_WA-9-1-1-dep-right,waiting,0,0,2
BGKR_111_WA-9-1-2-dep-right,BAGL_641_B-9-1-2-arr-right,driving,20,20,2
BAGL_641_B-9-1-2-arr-right,BAGL_641_B-9-1-2-dep-right,waiting,5,67,2
BAGL_641_B-9-1-2-dep-right,BGBA_651_B-9-1-2-arr-right,driving,17,17,2
BGBA_651_B-9-1-2-arr-right,BGBA_651_B-9-1-2-dep-right,waiting,5,67,2
BGBA_651_B-9-1-2-dep-right,BFLH_671_B-9-1-2-arr-right,driving,24,24,2
BFLH_671_B-9-1-2-arr-right,BFLH_671_B-9-1-2-dep-right,waiting,5,67,2
BFLH_671_B-9-1-2-dep-right,BWAF_1_B-9-1-2-arr-right,driving,38,38,2
BWAF_1_B-9-1-2-arr-right,BWAF_1_B-9-1-2-dep-right,waiting,5,67,2
BWAF_1_B-9-1-2-dep-right,BFBB_6_B-9-1-21-arr-left,driving,42,42,2
BWAF_1_B-9-1-2-dep-right,BFBB_5_B-9-1-21-arr-right,driving,37,37,2
BFBB_6_B-9-1-21-arr-left,BFBB_6_B-9-1-21-dep-right,turn,20,180,1
BFBB_5_B-9-1-21-arr-right,BFBB_5_B-9-1-21-dep-left,turn,20,180,1
BGKR_112_WA-9-1-1-dep-right,henkel_3_S85_NI_BGAS_BPKW_0_S85_NI_BPKW_BGAS_0-9-1-12,henkel-to,194,194,2
henkel_3_S85_NI_BGAS_BPKW_0_S85_NI_BPKW_BGAS_0-9-1-12,BGKR_111_WA-9-1-2-arr-right,henkel-from,157,157,2
BGKR_111_WA-9-1-2-arr-right,BGKR_111_WA-9-1-2-dep-right,waiting,0,0,2
BFBB_6_B-10-1-21-dep-right,BWAF_2_B-10-1-1-arr-right,driving,35,35,2
BWAF_2_B-10-1-1-arr-right,BWAF_2_B-10-1-1-dep-right,waiting,5,67,2
BFBB_5_B-10-1-21-dep-left,BWAF_2_B-10-1-1-arr-right,driving,40,40,2
BWAF_2_B-10-1-1-dep-right,BFLH_671_B-10-1-1-arr-left,driving,43,43,2
BWAF_2_B-10-1-1-dep-right,BFLH_672_B-10-1-1-arr-right,driving,38,38,2
BFLH_671_B-10-1-1-arr-left,BFLH_671_B-10-1-1-dep-left,waiting,5,67,2
BFLH_672_B-10-1-1-arr-right,BFLH_672_B-10-1-1-dep-right,waiting,5,67,2
BFLH_671_B-10-1-1-dep-left,BGBA_652_B-10-1-1-arr-right,driving,30,30,2
BGBA_652_B-10-1-1-arr-right,BGBA_652_B-10-1-1-dep-right,waiting,5,67,2
BFLH_672_B-10-1-1-dep-right,BGBA_652_B-10-1-1-arr-right,driving,25,25,2
BGBA_652_B-10-1-1-dep-right,BAGL_642_B-10-1-1-arr-right,driving,19,19,2
BAGL_642_B-10-1-1-arr-right,BAGL_642_B-10-1-1-dep-right,waiting,5,67,2
BAGL_642_B-10-1-1-dep-right,BGKR_112_WA-10-1-1-arr-right,driving,19,19,2
BGKR_112_WA-10-1-1-arr-right,BGKR_112_WA-10-1-1-dep-right,waiting,0,0,2
BGKR_111_WA-10-1-2-dep-right,BAGL_641_B-10-1-2-arr-right,driving,20,20,2
BAGL_641_B-10-1-2-arr-right,BAGL_641_B-10-1-2-dep-right,waiting,5,67,2
BAGL_641_B-10-1-2-dep-right,BGBA_651_B-10-1-2-arr-right,driving,17,17,2
BGBA_651_B-10-1-2-arr-right,BGBA_651_B-10-1-2-dep-right,waiting,5,67,2
BGBA_651_B-10-1-2-dep-right,BFLH_671_B-10-1-2-arr-right,driving,24,24,2
BFLH_671_B-10-1-2-arr-right,BFLH_671_B-10-1-2-dep-right,waiting,5,67,2
BFLH_671_B-10-1-2-dep-right,BWAF_1_B-10-1-2-arr-right,driving,38,38,2
BWAF_1_B-10-1-2-arr-right,BWAF_1_B-10-1-2-dep-right,waiting,5,67,2
BWAF_1_B-10-1-2-dep-right,BFBB_6_B-10-1-21-arr-left,driving,42,42,2
BWAF_1_B-10-1-2-dep-right,BFBB_5_B-10-1-21-arr-right,driving,37,37,2
BFBB_6_B-10-1-21-arr-left,BFBB_6_B-10-1-21-dep-right,turn,20,180,1
BFBB_5_B-10-1-21-arr-right,BFBB_5_B-10-1-21-dep-left,turn,20,180,1
BGKR_112_WA-10-1-1-dep-right,henkel_4_S9_C_BFBB_BSPA_0_S9_C_BSPA_BFBB_0-10-1-12,henkel-to,144,144,2
henkel_4_S9_C_BFBB_BSPA_0_S9_C_BSPA_BFBB_0-10-1-12,BGKR_111_WA-10-1-2-arr-right,henkel-from,7,7,2
BGKR_111_WA-10-1-2-arr-right,BGKR_111_WA-10-1-2-dep-right,waiting,0,0,2
BFBB_6_B-6-1-21-dep-right,BWAF_2_B-6-1-1-arr-right,driving,35,35,2
BWAF_2_B-6-1-1-arr-right,BWAF_2_B-6-1-1-dep-right,waiting,5,67,2
BFBB_5_B-6-1-21-dep-left,BWAF_2_B-6-1-1-arr-right,driving,40,40,2
BWAF_2_B-6-1-1-dep-right,BFLH_671_B-6-1-1-arr-left,driving,43,43,2
BWAF_2_B-6-1-1-dep-right,BFLH_672_B-6-1-1-arr-right,driving,38,38,2
BFLH_671_B-6-1-1-arr-left,BFLH_671_B-6-1-1-dep-left,waiting,5,67,2
BFLH_672_B-6-1-1-arr-right,BFLH_672_B-6-1-1-dep-right,waiting,5,67,2
BFLH_671_B-6-1-1-dep-left,BGBA_652_B-6-1-1-arr-right,driving,30,30,2
BGBA_652_B-6-1-1-arr-right,BGBA_652_B-6-1-1-dep-right,waiting,5,67,2
BFLH_672_B-6-1-1-dep-right,BGBA_652_B-6-1-1-arr-right,driving,25,25,2
BGBA_652_B-6-1-1-dep-right,BAGL_642_B-6-1-1-arr-right,driving,19,19,2
BAGL_642_B-6-1-1-arr-right,BAGL_642_B-6-1-1-dep-right,waiting,5,67,2
BAGL_642_B-6-1-1-dep-right,BGKR_112_WA-6-1-1-arr-right,driving,19,19,2
BGKR_112_WA-6-1-1-arr-right,BGKR_112_WA-6-1-1-dep-right,waiting,0,0,2
BGKR_111_WA-6-1-2-dep-right,BAGL_641_B-6-1-2-arr-right,driving,20,20,2
BAGL_641_B-6-1-2-arr-right,BAGL_641_B-6-1-2-dep-right,waiting,5,67,2
BAGL_641_B-6-1-2-dep-right,BGBA_651_B-6-1-2-arr-right,driving,17,17,2
BGBA_651_B-6-1-2-arr-right,BGBA_651_B-6-1-2-dep-right,waiting,5,67,2
BGBA_651_B-6-1-2-dep-right,BFLH_671_B-6-1-2-arr-right,driving,24,24,2
BFLH_671_B-6-1-2-arr-right,BFLH_671_B-6-1-2-dep-right,waiting,5,67,2
BFLH_671_B-6-1-2-dep-right,BWAF_1_B-6-1-2-arr-right,driving,38,38,2
BWAF_1_B-6-1-2-arr-right,BWAF_1_B-6-1-2-dep-right,waiting,5,67,2
BWAF_1_B-6-1-2-dep-right,BFBB_6_B-6-1-21-arr-left,driving,42,42,2
BWAF_1_B-6-1-2-dep-right,BFBB_5_B-6-1-21-arr-right,driving,37,37,2
BFBB_6_B-6-1-21-arr-left,BFBB_6_B-6-1-21-dep-right,turn,20,180,1
BFBB_5_B-6-1-21-arr-right,BFBB_5_B-6-1-21-dep-left,turn,20,180,1
BGKR_112_WA-6-1-1-dep-right,henkel_0_S45_U_BFBB_BSKR_0_S45_U_BSKR_BFBB_0-6-1-12,henkel-to,69,69,2
henkel_0_S45_U_BFBB_BSKR_0_S45_U_BSKR_BFBB_0-6-1-12,BGKR_111_WA-6-1-2-arr-right,henkel-from,112,112,2
BGKR_111_WA-6-1-2-arr-right,BGKR_111_WA-6-1-2-dep-right,waiting,0,0,2
